ClusterNo,P-Value,term
167,0.01466403,visual behavior [GO:0007632]
167,0.01466403,positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]
168,1,mitochondrion inheritance [GO:0000001]
168,1,mitochondrial genome maintenance [GO:0000002]
168,1,reproduction [GO:0000003]
169,0.000702073,positive regulation of bone mineralization [GO:0030501]
169,0.000702073,positive regulation of ossification [GO:0045778]
169,0.000828009,positive regulation of biomineral tissue development [GO:0070169]
170,0.010727672,mitotic prophase [GO:0000088]
170,0.010727672,sulfur amino acid transport [GO:0000101]
170,0.010727672,acetylcholine catabolic process in synaptic cleft [GO:0001507]
171,0.001789291,positive regulation of mononuclear cell proliferation [GO:0032946]
171,0.001789291,positive regulation of lymphocyte proliferation [GO:0050671]
171,0.001789291,positive regulation of leukocyte proliferation [GO:0070665]
172,1,mitochondrion inheritance [GO:0000001]
172,1,mitochondrial genome maintenance [GO:0000002]
172,1,reproduction [GO:0000003]
173,0.065055317,nucleoside triphosphate catabolic process [GO:0009143]
173,0.071430474,nucleoside triphosphate metabolic process [GO:0009141]
173,0.074849717,nucleoside phosphate catabolic process [GO:1901292]
174,0.00135179,mitotic cell cycle spindle checkpoint [GO:0071174]
174,0.0017301,spindle checkpoint [GO:0031577]
174,0.0017301,cytoplasmic sequestering of transcription factor [GO:0042994]
175,0.004265219,queuosine biosynthetic process [GO:0008616]
175,0.004265219,regulation of transcription by chromatin organization [GO:0034401]
175,0.004265219,positive regulation of translational elongation [GO:0045901]
176,0.007237948,voluntary skeletal muscle contraction [GO:0003010]
176,0.007237948,succinyl-CoA metabolic process [GO:0006104]
176,0.007237948,L-serine biosynthetic process [GO:0006564]
177,7.03E-05,"complement activation, alternative pathway [GO:0006957]"
177,0.001256396,complement activation [GO:0006956]
177,0.003810685,protein activation cascade [GO:0072376]
178,1,mitochondrion inheritance [GO:0000001]
178,1,mitochondrial genome maintenance [GO:0000002]
178,1,reproduction [GO:0000003]
179,0.007367197,one-carbon metabolic process [GO:0006730]
179,0.007367197,gamma-aminobutyric acid signaling pathway [GO:0007214]
179,0.007367197,lysine transport [GO:0015819]
180,0.000511737,regulation of protein oligomerization [GO:0032459]
180,0.00126261,regulation of purine nucleotide metabolic process [GO:1900542]
180,0.001312758,regulation of nucleotide metabolic process [GO:0006140]
181,0.001163242,regulation of keratinocyte proliferation [GO:0010837]
181,0.001163242,negative regulation of keratinocyte proliferation [GO:0010839]
181,0.001163242,regulation of vitamin D 24-hydroxylase activity [GO:0010979]
182,0.003748223,dendritic cell cytokine production [GO:0002371]
182,0.003748223,myeloid dendritic cell cytokine production [GO:0002372]
182,0.003748223,polyol transport [GO:0015791]
183,0.002335708,regulation of metabolic process [GO:0019222]
183,0.002440882,regulation of hydrolase activity [GO:0051336]
183,0.005848552,cellular nitrogen compound biosynthetic process [GO:0044271]
184,1,mitochondrion inheritance [GO:0000001]
184,1,mitochondrial genome maintenance [GO:0000002]
184,1,reproduction [GO:0000003]
185,0.005005918,endocrine system development [GO:0035270]
185,0.006328011,cellular response to lipopolysaccharide [GO:0071222]
185,0.006720951,fructose transport [GO:0015755]
186,0.000910614,purine-containing compound salvage [GO:0043101]
186,0.002800981,cellular metabolic compound salvage [GO:0043094]
186,0.002923877,purine-containing compound biosynthetic process [GO:0072522]
187,1,mitochondrion inheritance [GO:0000001]
187,1,mitochondrial genome maintenance [GO:0000002]
187,1,reproduction [GO:0000003]
188,0.00269981,positive regulation of stress-activated MAPK cascade [GO:0032874]
188,0.00269981,positive regulation of JNK cascade [GO:0046330]
188,0.00269981,positive regulation of stress-activated protein kinase signaling cascade [GO:0070304]
189,1,mitochondrion inheritance [GO:0000001]
189,1,mitochondrial genome maintenance [GO:0000002]
189,1,reproduction [GO:0000003]
190,0.00355764,G1 phase of mitotic cell cycle [GO:0000080]
190,0.00355764,G1 phase [GO:0051318]
190,0.003748223,spermatid nucleus differentiation [GO:0007289]
191,0.005378354,carbohydrate homeostasis [GO:0033500]
191,0.005378354,glucose homeostasis [GO:0042593]
191,0.008512795,peptidyl-arginine modification [GO:0018195]
192,0.000148184,meiotic chromosome segregation [GO:0045132]
192,0.000148184,meiotic chromosome separation [GO:0051307]
192,0.000295014,chromosome separation [GO:0051304]
193,1,mitochondrion inheritance [GO:0000001]
193,1,mitochondrial genome maintenance [GO:0000002]
193,1,reproduction [GO:0000003]
194,0.002843479,isotype switching to IgA isotypes [GO:0048290]
194,0.002843479,regulation of isotype switching to IgA isotypes [GO:0048296]
194,0.002843479,positive regulation of isotype switching to IgA isotypes [GO:0048298]
195,1,mitochondrion inheritance [GO:0000001]
195,1,mitochondrial genome maintenance [GO:0000002]
195,1,reproduction [GO:0000003]
196,0.000314644,sperm motility [GO:0030317]
196,0.009146472,defense response to virus [GO:0051607]
196,0.010339925,induction by virus of host cell-cell fusion [GO:0006948]
197,0.000934321,antigen processing and presentation of exogenous peptide antigen [GO:0002478]
197,0.000934321,antigen processing and presentation of exogenous antigen [GO:0019884]
197,0.001091491,exogen [GO:0042638]
198,5.69E-05,hyaluronan catabolic process [GO:0030214]
198,0.000203603,hyaluronan metabolic process [GO:0030212]
198,0.001057394,glycosaminoglycan catabolic process [GO:0006027]
199,0.000517909,post-translational protein modification [GO:0043687]
199,0.000785708,carbohydrate metabolic process [GO:0005975]
199,0.001770789,polyol metabolic process [GO:0019751]
200,0.004394468,cerebral cortex tangential migration [GO:0021800]
200,0.004394468,reelin-mediated signaling pathway [GO:0038026]
200,0.004394468,regulation of long-term synaptic potentiation [GO:1900271]
201,0.002326483,blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:0002043]
201,0.002326483,tendon development [GO:0035989]
201,0.002326483,tendon cell differentiation [GO:0035990]
202,0.003357869,protein localization to cell surface [GO:0034394]
202,0.003357869,peptidyl-tyrosine dephosphorylation [GO:0035335]
202,0.007740408,negative regulation of cell migration [GO:0030336]
203,1,mitochondrion inheritance [GO:0000001]
203,1,mitochondrial genome maintenance [GO:0000002]
203,1,reproduction [GO:0000003]
204,0.002843479,negative regulation of heterotypic cell-cell adhesion [GO:0034115]
204,0.00412646,carboxylic acid metabolic process [GO:0019752]
204,0.00567924,zygotic specification of dorsal/ventral axis [GO:0007352]
205,0.000616396,negative regulation of lipid metabolic process [GO:0045833]
205,0.000709591,negative regulation of NF-kappaB transcription factor activity [GO:0032088]
205,0.002358752,glycolipid metabolic process [GO:0006664]
206,0.000866062,negative regulation of protein tyrosine kinase activity [GO:0061099]
206,0.001315306,peptidyl-amino acid modification [GO:0018193]
206,0.00138185,negative regulation of peptidyl-tyrosine phosphorylation [GO:0050732]
207,0.000683777,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]
207,0.001756633,protein oligomerization [GO:0051259]
207,0.002408707,positive regulation of mRNA processing [GO:0050685]
208,0.000516996,response to ethanol [GO:0045471]
208,0.001938736,glutamate receptor signaling pathway [GO:0007215]
208,0.002584981,learning or memory [GO:0007611]
209,0.003360476,dolichyl diphosphate biosynthetic process [GO:0006489]
209,0.003360476,regulation of mRNA export from nucleus [GO:0010793]
209,0.003360476,CD40 signaling pathway [GO:0023035]
210,0.050513226,cellular response to tumor necrosis factor [GO:0071356]
210,0.054449173,response to tumor necrosis factor [GO:0034612]
210,0.083484904,protein folding [GO:0006457]
211,0.004758503,transmembrane transport [GO:0055085]
211,0.004947107,multi-organism process [GO:0051704]
211,0.007496446,negative regulation of peptide secretion [GO:0002792]
212,0.01440028,regulation of cellular amino acid metabolic process [GO:0006521]
212,0.01440028,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]
212,0.014911682,ATP catabolic process [GO:0006200]
213,0.000129249,negative regulation of plasminogen activation [GO:0010757]
213,0.000258498,negative regulation of protein processing [GO:0010955]
213,0.000258498,negative regulation of homotypic cell-cell adhesion [GO:0034111]
214,1,mitochondrion inheritance [GO:0000001]
214,1,mitochondrial genome maintenance [GO:0000002]
214,1,reproduction [GO:0000003]
215,0.000129249,positive regulation of podosome assembly [GO:0071803]
215,0.000258498,regulation of podosome assembly [GO:0071801]
215,0.000646245,podosome assembly [GO:0071800]
216,1,mitochondrion inheritance [GO:0000001]
216,1,mitochondrial genome maintenance [GO:0000002]
216,1,reproduction [GO:0000003]
217,0.002433071,purine nucleobase metabolic process [GO:0006144]
217,0.00397178,nucleobase metabolic process [GO:0009112]
217,0.00413597,response to selenium ion [GO:0010269]
218,0.000159232,G-protein coupled receptor signaling pathway coupled to cGMP nucleotide second messenger [GO:0007199]
218,0.000316956,"Wnt receptor signaling pathway, calcium modulating pathway [GO:0007223]"
218,0.002310503,non-canonical Wnt receptor signaling pathway [GO:0035567]
219,0.001033792,embryonic skeletal joint morphogenesis [GO:0060272]
219,0.001292156,embryonic skeletal joint development [GO:0072498]
219,0.001550488,collagen fibril organization [GO:0030199]
220,0.004020841,regulation of vesicle-mediated transport [GO:0060627]
220,0.006462453,muscle hypertrophy in response to stress [GO:0003299]
220,0.006462453,cardiac muscle adaptation [GO:0014887]
221,1,mitochondrion inheritance [GO:0000001]
221,1,mitochondrial genome maintenance [GO:0000002]
221,1,reproduction [GO:0000003]
222,0.003231227,mature B cell differentiation involved in immune response [GO:0002313]
222,0.003231227,marginal zone B cell differentiation [GO:0002315]
222,0.003231227,mature B cell differentiation [GO:0002335]
223,1,mitochondrion inheritance [GO:0000001]
223,1,mitochondrial genome maintenance [GO:0000002]
223,1,reproduction [GO:0000003]
224,0.000258498,peptidoglycan metabolic process [GO:0000270]
224,0.000258498,peptidoglycan catabolic process [GO:0009253]
224,0.000258498,cell wall macromolecule catabolic process [GO:0016998]
225,0.044590927,regulation of transcription from RNA polymerase II promoter [GO:0006357]
225,0.055577097,transcription from RNA polymerase II promoter [GO:0006366]
225,0.074964457,"regulation of transcription, DNA-dependent [GO:0006355]"
226,0.000404276,regulation of metanephros development [GO:0072215]
226,0.000666011,regulation of carbohydrate metabolic process [GO:0006109]
226,0.00084198,metanephric nephron development [GO:0072210]
227,0.003531019,regulation of immune effector process [GO:0002697]
227,0.004259708,negative regulation of protein autophosphorylation [GO:0031953]
227,0.008268887,immune effector process [GO:0002252]
228,0.001104063,positive regulation of inflammatory response [GO:0050729]
228,0.001479091,acute inflammatory response [GO:0002526]
228,0.003877472,respiratory burst involved in inflammatory response [GO:0002536]
229,0.000387747,ethanol metabolic process [GO:0006067]
229,0.000387747,ethanol oxidation [GO:0006069]
229,0.000516996,acetyl-CoA biosynthetic process [GO:0006085]
230,0.001141305,regulation of macromolecule metabolic process [GO:0060255]
230,0.002141986,regulation of macromolecule biosynthetic process [GO:0010556]
230,0.003178186,negative regulation of macromolecule biosynthetic process [GO:0010558]
231,1,mitochondrion inheritance [GO:0000001]
231,1,mitochondrial genome maintenance [GO:0000002]
231,1,reproduction [GO:0000003]
232,0.00232498,hormone-mediated signaling pathway [GO:0009755]
232,0.00232498,negative regulation of cyclin-dependent protein kinase activity [GO:0045736]
232,0.002632913,protein transport [GO:0015031]
233,0.000129249,regulation of transcription from RNA polymerase II promoter by glucose [GO:0000430]
233,0.000129249,positive regulation of transcription from RNA polymerase II promoter by glucose [GO:0000432]
233,0.000129249,late viral mRNA transcription [GO:0019086]
234,0.00156064,cell division [GO:0051301]
234,0.003073422,regulation of heart contraction [GO:0008016]
234,0.00458637,negative regulation of NF-kappaB transcription factor activity [GO:0032088]
235,0.001582889,intracellular estrogen receptor signaling pathway [GO:0030520]
235,0.001582889,histone H3-K4 methylation [GO:0051568]
235,0.001751064,cell junction assembly [GO:0034329]
236,0.004911464,mitotic spindle organization in nucleus [GO:0030472]
236,0.004911464,negative regulation of protein dephosphorylation [GO:0035308]
236,0.004911464,oxidative single-stranded DNA demethylation [GO:0035552]
237,0.000775494,positive regulation of isotype switching to IgE isotypes [GO:0048295]
237,0.001550488,positive regulation of isotype switching [GO:0045830]
237,0.001550488,positive regulation of DNA recombination [GO:0045911]
238,0.001578943,nucleobase-containing small molecule metabolic process [GO:0055086]
238,0.003548301,carbohydrate derivative metabolic process [GO:1901135]
238,0.00411487,purine-containing compound metabolic process [GO:0072521]
239,1,mitochondrion inheritance [GO:0000001]
239,1,mitochondrial genome maintenance [GO:0000002]
239,1,reproduction [GO:0000003]
240,0.0012754,cellular modified amino acid biosynthetic process [GO:0042398]
240,0.004339021,regulation of receptor activity [GO:0010469]
240,0.004523717,T-tubule organization [GO:0033292]
241,1,mitochondrion inheritance [GO:0000001]
241,1,mitochondrial genome maintenance [GO:0000002]
241,1,reproduction [GO:0000003]
242,1,mitochondrion inheritance [GO:0000001]
242,1,mitochondrial genome maintenance [GO:0000002]
242,1,reproduction [GO:0000003]
243,0.000777141,neural tube formation [GO:0001841]
243,0.000777141,neural tube closure [GO:0001843]
243,0.000777141,primary neural tube formation [GO:0014020]
244,0.002767001,regulation of cellular ketone metabolic process [GO:0010565]
244,0.004089741,cellular ketone metabolic process [GO:0042180]
244,0.004652966,negative regulation of cholesterol storage [GO:0010887]
245,0.002584981,intracellular mRNA localization [GO:0008298]
245,0.002584981,very long-chain fatty-acyl-CoA metabolic process [GO:0036111]
245,0.002584981,medium-chain fatty-acyl-CoA metabolic process [GO:0036112]
246,0.000874548,ER-associated protein catabolic process [GO:0030433]
246,0.006035917,protein deubiquitination [GO:0016579]
246,0.007155868,proteasomal ubiquitin-dependent protein catabolic process [GO:0043161]
247,0.000153659,negative regulation of receptor-mediated endocytosis [GO:0048261]
247,0.000757626,negative regulation of endocytosis [GO:0045806]
247,0.00082992,spindle organization [GO:0007051]
248,0.000904743,regulation of type I interferon-mediated signaling pathway [GO:0060338]
248,0.002455732,regulation of cytokine-mediated signaling pathway [GO:0001959]
248,0.00271423,regulation of response to cytokine stimulus [GO:0060759]
249,0.001018484,heme biosynthetic process [GO:0006783]
249,0.00135179,porphyrin-containing compound biosynthetic process [GO:0006779]
249,0.00135179,tetrapyrrole biosynthetic process [GO:0033014]
250,0.004394468,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]"
250,0.004394468,"nucleotide-excision repair, DNA damage recognition [GO:0000715]"
250,0.004394468,positive regulation of B cell mediated immunity [GO:0002714]
251,0.009278291,dendrite development [GO:0016358]
251,0.0626315,neuron projection development [GO:0031175]
251,0.06671131,neuron development [GO:0048666]
252,0.00368544,synaptic vesicle transport [GO:0048489]
252,0.006591702,cysteinyl-tRNA aminoacylation [GO:0006423]
252,0.006591702,negative regulation of transcription from RNA polymerase III promoter [GO:0016480]
253,0.002293314,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway [GO:0007193]
253,0.006074706,vesicle transport along actin filament [GO:0030050]
253,0.00640094,membrane budding [GO:0006900]
254,6.09E-05,antigen processing and presentation [GO:0019882]
254,0.00093117,organ development [GO:0048513]
254,0.001006359,antigen processing and presentation of exogenous peptide antigen [GO:0002478]
255,0.000299063,mRNA modification [GO:0016556]
255,0.002693479,regulation of cyclin-dependent protein kinase activity [GO:0000079]
255,0.002701226,homophilic cell adhesion [GO:0007156]
256,0.001033792,respiratory gaseous exchange [GO:0007585]
256,0.014167776,circulatory system process [GO:0003013]
256,0.014167776,blood circulation [GO:0008015]
257,6.94E-05,execution phase of apoptosis [GO:0097194]
257,0.000282229,apoptotic signaling pathway [GO:0097190]
257,0.000282229,regulation of execution phase of apoptosis [GO:1900117]
258,0.001809487,threonyl-tRNA aminoacylation [GO:0006435]
258,0.001809487,negative regulation by host of viral transcription [GO:0043922]
258,0.001809487,negative regulation of glycogen biosynthetic process [GO:0045719]
259,0.005534471,regulation of homeostatic process [GO:0032844]
259,0.006462453,quorum sensing [GO:0009372]
259,0.006462453,carbohydrate mediated signaling [GO:0009756]
260,0.000516996,interleukin-1 alpha production [GO:0032610]
260,0.000516996,interleukin-1 alpha secretion [GO:0050703]
260,0.000516996,negative regulation of mitochondrial depolarization [GO:0051902]
261,0.001808785,nucleobase-containing small molecule interconversion [GO:0015949]
261,0.002067049,chondroitin sulfate biosynthetic process [GO:0030206]
261,0.00232528,chondroitin sulfate proteoglycan biosynthetic process [GO:0050650]
262,1,mitochondrion inheritance [GO:0000001]
262,1,mitochondrial genome maintenance [GO:0000002]
262,1,reproduction [GO:0000003]
263,0.001162941,phosphatidylinositol-3-phosphate biosynthetic process [GO:0036092]
263,0.010434026,lymphocyte costimulation [GO:0031294]
263,0.010434026,T cell costimulation [GO:0031295]
264,0.008512795,potassium ion transport [GO:0006813]
264,0.016220123,monovalent inorganic cation transport [GO:0015672]
264,0.028998838,metal ion transport [GO:0030001]
265,0.004516705,podosome assembly [GO:0071800]
265,0.006318484,activation of JUN kinase activity [GO:0007257]
265,0.007218325,Rac protein signal transduction [GO:0016601]
266,0.014140408,gluconeogenesis [GO:0006094]
266,0.014779332,hexose biosynthetic process [GO:0019319]
266,0.015417924,monosaccharide biosynthetic process [GO:0046364]
267,0.002514148,RNA splicing [GO:0008380]
267,0.005816208,serotonin receptor signaling pathway [GO:0007210]
267,0.005816208,egg activation [GO:0007343]
268,0.003133199,nucleic acid metabolic process [GO:0090304]
268,0.006195499,DNA strand elongation [GO:0022616]
268,0.007182315,S phase of mitotic cell cycle [GO:0000084]
269,1,mitochondrion inheritance [GO:0000001]
269,1,mitochondrial genome maintenance [GO:0000002]
269,1,reproduction [GO:0000003]
270,0.003050768,regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]
270,0.004020841,"symbiosis, encompassing mutualism through parasitism [GO:0044403]"
270,0.004020841,interspecies interaction between organisms [GO:0044419]
271,0.008255366,Notch signaling pathway [GO:0007219]
271,0.015194216,transforming growth factor beta receptor signaling pathway [GO:0007179]
271,0.016732875,response to transforming growth factor beta stimulus [GO:0071559]
272,1,mitochondrion inheritance [GO:0000001]
272,1,mitochondrial genome maintenance [GO:0000002]
272,1,reproduction [GO:0000003]
273,0.00059384,regulation of extrinsic apoptotic signaling pathway [GO:2001236]
273,0.000724702,protein homooligomerization [GO:0051260]
273,0.002512008,extrinsic apoptotic signaling pathway [GO:0097191]
274,0.002408707,cell recognition [GO:0008037]
274,0.007730518,cellular membrane fusion [GO:0006944]
274,0.008401189,globoside metabolic process [GO:0001575]
275,0.001809487,actin filament bundle assembly [GO:0051017]
275,0.006203955,actin filament organization [GO:0007015]
275,0.012537159,actin cytoskeleton organization [GO:0030036]
276,0.003748223,adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway [GO:0007196]
276,0.003748223,G-protein coupled glutamate receptor signaling pathway [GO:0007216]
276,0.007482879,regulation of short-term neuronal synaptic plasticity [GO:0048172]
277,0.002067985,synapse assembly [GO:0007416]
277,0.003231227,synapse organization [GO:0050808]
277,0.019128861,cell adhesion [GO:0007155]
278,0.004911464,B cell lineage commitment [GO:0002326]
278,0.004911464,chitin metabolic process [GO:0006030]
278,0.004911464,chitin catabolic process [GO:0006032]
279,0.000516996,regulation of synaptic growth at neuromuscular junction [GO:0008582]
279,0.000516996,positive regulation of synaptic growth at neuromuscular junction [GO:0045887]
279,0.000516996,synaptic growth at neuromuscular junction [GO:0051124]
280,0.000170676,regulation of membrane potential [GO:0042391]
280,0.000775394,stress granule disassembly [GO:0035617]
280,0.000844095,cellular ion homeostasis [GO:0006873]
281,0.010856921,negative regulation of type 2 immune response [GO:0002829]
281,0.010856921,vacuolar acidification [GO:0007035]
281,0.010856921,leukotriene biosynthetic process [GO:0019370]
282,0.000507442,protein insertion into membrane [GO:0051205]
282,0.001055749,localization within membrane [GO:0051668]
282,0.007237948,mRNA 3'-splice site recognition [GO:0000389]
283,0.002067049,maintenance of protein location in nucleus [GO:0051457]
283,0.002583478,maintenance of protein localization in organelle [GO:0072595]
283,0.010828151,maintenance of protein location in cell [GO:0032507]
284,0.005428461,polyphosphate metabolic process [GO:0006797]
284,0.005428461,tubulin complex assembly [GO:0007021]
284,0.005428461,regulation of Golgi to plasma membrane protein transport [GO:0042996]
285,0.004911464,5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]
285,0.004911464,creatine biosynthetic process [GO:0006601]
285,0.004911464,molybdopterin cofactor biosynthetic process [GO:0032324]
286,0.005686959,cellular calcium ion homeostasis [GO:0006874]
286,0.005686959,calcium ion homeostasis [GO:0055074]
286,0.006462453,cellular divalent inorganic cation homeostasis [GO:0072503]
287,0.010469174,regulation of cell morphogenesis [GO:0022604]
287,0.018094869,regulation of anatomical structure morphogenesis [GO:0022603]
287,0.025462065,cytoskeleton organization [GO:0007010]
288,0.004883522,histone mRNA metabolic process [GO:0008334]
288,0.006656316,membrane protein ectodomain proteolysis [GO:0006509]
288,0.008918185,defense response to tumor cell [GO:0002357]
289,1,mitochondrion inheritance [GO:0000001]
289,1,mitochondrial genome maintenance [GO:0000002]
289,1,reproduction [GO:0000003]
290,0.003360476,negative regulation of neuroblast proliferation [GO:0007406]
290,0.003360476,forebrain astrocyte differentiation [GO:0021896]
290,0.003360476,forebrain astrocyte development [GO:0021897]
291,0.000603909,lymph vessel development [GO:0001945]
291,0.000603909,lymphangiogenesis [GO:0001946]
291,0.000603909,lymph vessel morphogenesis [GO:0036303]
292,0.000775394,white fat cell differentiation [GO:0050872]
292,0.001162941,positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]
292,0.001162941,regulation of stem cell maintenance [GO:2000036]
293,0.001018484,positive regulation of TOR signaling cascade [GO:0032008]
293,0.001594852,glycolipid metabolic process [GO:0006664]
293,0.004157452,membrane lipid metabolic process [GO:0006643]
294,0.000881079,response to UV [GO:0009411]
294,0.000945915,purine-containing compound salvage [GO:0043101]
294,0.001255689,integrin-mediated signaling pathway [GO:0007229]
295,0.001748518,angiogenesis [GO:0001525]
295,0.002142913,cardiovascular system development [GO:0072358]
295,0.002142913,circulatory system development [GO:0072359]
296,0.001938736,riboflavin metabolic process [GO:0006771]
296,0.001938736,antibiotic metabolic process [GO:0016999]
296,0.001938736,cellular anion homeostasis [GO:0030002]
297,0.00205982,positive regulation of cell cycle process [GO:0090068]
297,0.00413597,formation of translation preinitiation complex [GO:0001731]
297,0.00413597,positive regulation of hydrogen peroxide metabolic process [GO:0010726]
298,0.001808785,activation of JUN kinase activity [GO:0007257]
298,0.002841642,positive regulation of JUN kinase activity [GO:0043507]
298,0.003615933,regulation of JUN kinase activity [GO:0043506]
299,0.000516996,secretory granule organization [GO:0033363]
299,0.000516996,mast cell secretory granule organization [GO:0033364]
299,0.000516996,protein localization to secretory granule [GO:0033366]
300,1,mitochondrion inheritance [GO:0000001]
300,1,mitochondrial genome maintenance [GO:0000002]
300,1,reproduction [GO:0000003]
301,6.32E-05,positive regulation of ligand-dependent nuclear receptor transcription coactivator activity [GO:2000327]
301,0.000188583,regulation of ligand-dependent nuclear receptor transcription coactivator activity [GO:2000325]
301,0.00062213,cardiolipin acyl-chain remodeling [GO:0035965]
302,3.31E-05,autophagic cell death [GO:0048102]
302,0.000341694,G1 phase of mitotic cell cycle [GO:0000080]
302,0.000341694,G1 phase [GO:0051318]
303,0.003166585,regulation of intracellular steroid hormone receptor signaling pathway [GO:0033143]
303,0.003456856,organic substance catabolic process [GO:1901575]
303,0.004071985,base-excision repair [GO:0006284]
304,0.005428461,mannose metabolic process [GO:0006013]
304,0.005428461,polarized epithelial cell differentiation [GO:0030859]
304,0.005428461,establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]
305,0.000303907,cellular senescence [GO:0090398]
305,0.000489446,embryonic placenta development [GO:0001892]
305,0.000619009,cell aging [GO:0007569]
306,4.22E-05,single-organism cellular process [GO:0044763]
306,5.28E-05,single-organism process [GO:0044699]
306,0.000582624,positive regulation of translational initiation [GO:0045948]
307,0.00360635,positive regulation of mononuclear cell proliferation [GO:0032946]
307,0.00360635,positive regulation of lymphocyte proliferation [GO:0050671]
307,0.00360635,positive regulation of leukocyte proliferation [GO:0070665]
308,3.81E-05,tumor necrosis factor production [GO:0032640]
308,3.81E-05,regulation of tumor necrosis factor production [GO:0032680]
308,3.81E-05,tumor necrosis factor superfamily cytokine production [GO:0071706]
309,1,mitochondrion inheritance [GO:0000001]
309,1,mitochondrial genome maintenance [GO:0000002]
309,1,reproduction [GO:0000003]
310,0.004911464,T cell receptor signaling pathway [GO:0050852]
310,0.00555771,antigen receptor-mediated signaling pathway [GO:0050851]
310,0.005945457,immune response-activating cell surface receptor signaling pathway [GO:0002429]
311,0.007884193,regulation of chromatin assembly or disassembly [GO:0001672]
311,0.007884193,fusion of sperm to egg plasma membrane [GO:0007342]
311,0.007884193,cannabinoid signaling pathway [GO:0038171]
312,0.000194514,cellular component organization [GO:0016043]
312,0.000242877,cellular component organization or biogenesis [GO:0071840]
312,0.000283206,cellular component disassembly [GO:0022411]
313,0.001550989,negative regulation of Ras protein signal transduction [GO:0046580]
313,0.001550989,negative regulation of small GTPase mediated signal transduction [GO:0051058]
313,0.003489725,lymphocyte costimulation [GO:0031294]
314,2.23E-05,alkaloid catabolic process [GO:0009822]
314,0.000132722,alkaloid metabolic process [GO:0009820]
314,0.000220536,pantothenate metabolic process [GO:0015939]
315,0.000129249,regulation of histone phosphorylation [GO:0033127]
315,0.000129249,positive regulation of histone phosphorylation [GO:0033129]
315,0.000129249,caveolin-mediated endocytosis [GO:0072584]
