"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"FADH2 metabolic process [GO:0006746]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"FAD biosynthetic process [GO:0006747]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"lipoamide metabolic process [GO:0006748]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"glutathione metabolic process [GO:0006749]",0.85824891562516,1,1,0.0933405889380115,1,0.341147523912354,0.287596402150356,1,1,1,1,1,1,1,0.324985605109552,1,1,1,1,1
"glutathione biosynthetic process [GO:0006750]",1,1,1,0.0447024068152368,1,0.138372151340066,1,1,1,1,1,1,1,1,0.130886789743418,1,1,1,1,1
"glutathione catabolic process [GO:0006751]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nucleoside phosphate metabolic process [GO:0006753]",0.807006324409152,0.984309787670408,0.180070199644272,0.639230455644813,0.088251561026921,0.621714438891756,0.266258409324433,1,0.853869004464351,0.733797992260945,0.470594949513256,0.155638674292437,0.824578198577965,1,0.563720014658813,0.155638674292437,0.57690968801104,0.227474637192955,0.31053811330525,0.367290656008888
"ATP biosynthetic process [GO:0006754]",0.165954920341911,1,1,0.889854772830193,1,1,1,1,1,1,1,1,0.202007713794004,1,1,1,1,0.0445946373124467,1,1
"carbamoyl phosphate-ADP transphosphorylation [GO:0006755]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AMP phosphorylation [GO:0006756]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ADP phosphorylation [GO:0006757]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"folic acid-containing compound metabolic process [GO:0006760]",0.55352165945179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0123582528642077,1,1
"dihydrofolate biosynthetic process [GO:0006761]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"dihydrofolate reduction [GO:0006762]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vitamin metabolic process [GO:0006766]",0.723335887778932,1,0.518098480409011,0.149827979580475,0.889331230130076,1,1,1,1,0.116744308679118,0.425921092624903,1,0.502686150996394,1,0.615470727805451,1,1,0.131698786499756,1,1
"water-soluble vitamin metabolic process [GO:0006767]",0.641320829007277,1,0.415184948387949,0.294751040542395,1,1,1,1,1,0.068933001064093,0.334914548797035,1,1,1,0.504570829784526,1,1,0.0985719477732341,1,1
"biotin metabolic process [GO:0006768]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nicotinamide metabolic process [GO:0006769]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"riboflavin metabolic process [GO:0006771]",1,1,1,1,1,1,1,1,1,1,0.0161561328680373,1,1,1,1,1,1,1,1,1
"thiamine metabolic process [GO:0006772]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vitamin B12 reduction [GO:0006774]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fat-soluble vitamin metabolic process [GO:0006775]",0.897562943648624,1,1,0.16395549975664,0.403712516084388,1,1,1,1,1,1,1,0.151327176561822,1,1,1,1,1,1,1
"vitamin A metabolic process [GO:0006776]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Mo-molybdopterin cofactor biosynthetic process [GO:0006777]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"porphyrin-containing compound metabolic process [GO:0006778]",0.595984499689287,0.186813368920431,1,0.889854772830193,1,1,1,1,0.0912938963488348,0.174946961087719,1,1,1,1,0.265629516183413,1,1,1,1,1
"porphyrin-containing compound biosynthetic process [GO:0006779]",0.711820673201711,0.139607536341764,1,0.798906755434492,1,1,1,1,1,0.130496308127808,1,1,1,1,0.201080573414446,1,1,1,1,1
"uroporphyrinogen III biosynthetic process [GO:0006780]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"succinyl-CoA pathway [GO:0006781]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protoporphyrinogen IX biosynthetic process [GO:0006782]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"heme biosynthetic process [GO:0006783]",0.577807210933193,1,1,0.754237030752351,1,1,1,1,1,0.115157512088989,1,1,1,1,0.178333266696869,1,1,1,1,1
"heme a biosynthetic process [GO:0006784]",1,1,1,1,1,1,1,1,1,0.0173193744345348,1,1,1,1,1,1,1,1,1,1
"heme b biosynthetic process [GO:0006785]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"heme c biosynthetic process [GO:0006786]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"porphyrin-containing compound catabolic process [GO:0006787]",0.55352165945179,1,1,1,1,1,1,1,0.025758041070458,1,1,1,1,1,1,1,1,1,1,1
"heme oxidation [GO:0006788]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"bilirubin conjugation [GO:0006789]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sulfur compound metabolic process [GO:0006790]",0.837035805327617,0.440840466402623,0.821449643631557,0.27590684815201,0.232821801158123,0.0853222243043206,0.574343828347254,0.12647998766778,1,1,1,0.229141009791516,1,1,0.65414911747112,1,0.437307578970357,1,1,0.153345281284379
"sulfur utilization [GO:0006791]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of sulfur utilization [GO:0006792]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phosphorus metabolic process [GO:0006793]",0.695425664179907,0.961562551062123,0.250858370086232,0.616180684405273,0.498930890500395,0.434641670969924,0.543008248894345,0.111101558434922,0.751999390439437,0.586202063294443,0.949901787071686,0.193966859409532,0.792836946553184,0.533710835309074,0.325865953622001,0.0741251154849153,0.0382433973687143,0.340517720337784,0.33999229494148,0.441441567526251
"phosphorus utilization [GO:0006794]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of phosphorus utilization [GO:0006795]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phosphate-containing compound metabolic process [GO:0006796]",0.575271504022577,0.979034283572633,0.513326213369885,0.726198120937013,0.494723396513367,0.38880416222609,0.501129442805104,0.105084313715755,0.732377638203507,0.551301964513085,0.941069783638226,0.182651831199717,0.764945341051201,0.520199376063113,0.285421318989218,0.0681861025624401,0.0539401717898538,0.324015276158746,0.329064298985646,0.428815105433991
"polyphosphate metabolic process [GO:0006797]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"polyphosphate catabolic process [GO:0006798]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"polyphosphate biosynthetic process [GO:0006799]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"oxygen and reactive oxygen species metabolic process [GO:0006800]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"superoxide metabolic process [GO:0006801]",0.966378494365205,1,1,0.0906006215983227,1,0.257670041721504,1,1,1,0.160386562402845,1,1,1,1,0.244711735864399,1,1,1,1,1
"catalase reaction [GO:0006802]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"glutathione conjugation reaction [GO:0006803]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"peroxidase reaction [GO:0006804]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"xenobiotic metabolic process [GO:0006805]",0.191875243294136,1,1,0.0656269769034029,0.733922958491207,0.529573082834062,1,1,1,1,1,0.177110154788307,1,1,1,1,0.67491336244654,1,1,0.117224269662913
"insecticide resistance [GO:0006806]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nitrogen compound metabolic process [GO:0006807]",0.546235650652881,0.998614470472982,0.154896338500636,0.581395846792752,0.283922216086886,0.300231906088677,0.415153573556528,0.743467088111537,0.762651342573528,0.948534311224542,0.988510882135558,0.342681409478743,0.18226105390015,0.735059814434462,0.166801459454362,0.0892100349896136,0.569206871136464,0.143915909681794,0.467449964513795,0.368556935226865
"regulation of nitrogen utilization [GO:0006808]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nitric oxide biosynthetic process [GO:0006809]",0.595984499689287,1,1,0.889854772830193,1,0.0395920029882071,1,1,1,0.174946961087719,1,1,1,1,1,1,0.185633749648128,1,1,1
"transport [GO:0006810]",0.437847549375814,0.910101034672754,0.581458914080405,0.526236513283334,0.955338128219899,0.05737015080892,0.690689417159739,0.152912895994771,0.978717960386006,0.00699397512218044,0.962668278168204,0.760888137378984,0.95394146728189,1,0.196224610788332,0.11892216594052,0.121058198337705,0.24882645854927,0.768082465362671,0.519138322949872
"ion transport [GO:0006811]",0.243875029237557,0.835998505572551,0.144069274967116,0.339031280512014,0.987365285268283,0.421085380841517,0.838714469926025,0.0610189931811767,0.883210111356235,0.0598133800157775,0.90821606551366,1,0.993667841375548,1,0.909175188702018,0.550240772968909,0.293287306132274,0.0778697215094613,1,0.400155395284659
"cation transport [GO:0006812]",0.318459923972285,0.756894801667321,0.193958030722799,0.24174428568078,0.953966501589237,0.93006533612016,0.866289481488727,0.0237646415476664,1,0.106664662974481,1,1,0.950258885778434,1,0.914250935927768,0.377315929609098,0.280111800372817,0.0215017731108957,1,1
"potassium ion transport [GO:0006813]",0.660967751035853,1,0.507616802794565,0.239585277975814,0.881912437246829,0.626471427812679,0.550818780139903,0.0540917143686749,1,0.111086008107673,1,1,1,1,1,1,0.460397212143623,1,1,1
"sodium ion transport [GO:0006814]",0.0609874772209279,1,0.0603323212162344,1,1,1,1,0.0314824029384956,1,0.282757468462714,1,1,1,1,1,1,0.298737067128859,1,1,1
"sodium/potassium transport [GO:0006815]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"calcium ion transport [GO:0006816]",0.740381851671452,0.595281774147671,0.080971389393829,0.148117889255867,0.955421987540963,1,1,1,1,0.20175170427023,1,1,1,1,0.740893872967091,1,0.058504737866439,0.180897655880647,1,1
"phosphate ion transport [GO:0006817]",0.720722857389101,1,1,0.699653253990898,1,1,1,1,0.0508622562489344,1,0.0931337000747826,1,1,1,1,1,1,1,1,1
"hydrogen transport [GO:0006818]",0.502686564359908,1,0.0343868092589408,0.75193661612234,1,1,1,1,1,1,1,1,0.249679868702463,1,1,1,1,0.0564185213892594,1,1
"anion transport [GO:0006820]",0.731199132205539,1,0.201300786839328,0.241581390745644,0.843940575833847,0.362337529063066,0.524559944256471,1,0.4715970179534,0.361724737252401,0.330720483251659,1,1,1,0.604255915197836,1,0.392207360632739,1,1,1
"chloride transport [GO:0006821]",0.0823219720931485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"heavy metal ion transport [GO:0006823]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cobalt ion transport [GO:0006824]",0.784492357931956,1,1,0.330232358271452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"copper ion transport [GO:0006825]",0.412870847706564,1,1,0.699653253990898,1,0.163668261227004,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"iron ion transport [GO:0006826]",0.385985135882735,1,1,0.713207034936569,0.568487328578363,1,1,1,1,1,1,1,1,1,1,0.0412325001036157,1,0.0524930654200002,1,1
"high-affinity iron ion transport [GO:0006827]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"manganese ion transport [GO:0006828]",1,1,1,0.032957508602013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"zinc ion transport [GO:0006829]",0.95358417261966,1,1,0.551462785476083,0.227750135309834,1,1,1,1,1,1,1,1,1,0.106150757425968,1,1,1,1,1
"high-affinity zinc ion transport [GO:0006830]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"low-affinity zinc ion transport [GO:0006831]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"small molecule transport [GO:0006832]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"water transport [GO:0006833]",0.85824891562516,1,0.259330791192938,0.93968553916184,0.595526703638963,0.00713996291726725,1,1,1,1,1,1,1,1,0.324985605109552,1,1,0.0564185213892594,1,1
"dicarboxylic acid transport [GO:0006835]",0.80025707643844,1,1,0.620589589991002,0.508877673935362,0.279477845594834,1,1,1,0.0147825755541089,1,1,1,1,1,1,1,1,1,1
"neurotransmitter transport [GO:0006836]",0.931683518640762,1,0.0547246676279325,0.216888797396919,0.311910192914062,0.0964182405302537,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"serotonin transport [GO:0006837]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"allantoin/allantoate transport [GO:0006838]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial transport [GO:0006839]",0.673975650708285,1,0.567271744825358,0.57902154952817,0.920003131441085,0.687848962571948,0.239033197760959,1,1,0.146028497518795,1,1,0.187119993974754,1,0.666010393188537,0.118855260780692,1,0.14958976280651,1,1
"mitochondrial alpha-ketoglutarate/malate transport [GO:0006840]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tricarboxylic acid transport [GO:0006842]",1,1,0.0211968463228641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial citrate transport [GO:0006843]",1,1,0.0211968463228641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"acyl carnitine transport [GO:0006844]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial aspartate/glutamate transport [GO:0006845]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"acetate transport [GO:0006846]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"plasma membrane acetate transport [GO:0006847]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"pyruvate transport [GO:0006848]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"plasma membrane pyruvate transport [GO:0006849]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial pyruvate transport [GO:0006850]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial calcium ion transport [GO:0006851]",0.55352165945179,1,1,0.451890216917685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial sodium/calcium ion exchange [GO:0006852]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carnitine shuttle [GO:0006853]",0.55352165945179,1,1,0.451890216917685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATP/ADP exchange [GO:0006854]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"drug transmembrane transport [GO:0006855]",0.286982373876238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"eye pigment precursor transport [GO:0006856]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"oligopeptide transport [GO:0006857]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"extracellular transport [GO:0006858]",0.286982373876238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"extracellular carbohydrate transport [GO:0006859]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"extracellular amino acid transport [GO:0006860]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nucleotide transport [GO:0006862]",0.55352165945179,1,1,1,1,1,0.0700405173416313,1,1,1,1,1,1,1,1,1,1,1,1,1
"purine nucleobase transport [GO:0006863]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"pyrimidine nucleotide transport [GO:0006864]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"amino acid transport [GO:0006865]",0.398286473778332,1,1,0.129819745052757,0.788336517307402,0.511182306420232,1,1,1,0.342911541514077,1,1,1,1,1,1,1,1,1,1
"asparagine transport [GO:0006867]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"glutamine transport [GO:0006868]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"lipid transport [GO:0006869]",0.962791591261024,0.482640058406155,0.528358359574651,0.040692399564737,0.896284843607558,0.648160715262374,0.572133953258443,1,1,0.458194552208189,1,1,0.512822237494325,1,0.0714988364509132,1,1,1,1,1
"cellular ion homeostasis [GO:0006873]",0.796074283506189,0.916444231917452,0.301883771301674,0.141345185278843,0.720253922234745,0.980447272403144,0.0372907840324427,0.199220541503914,0.683072779222452,0.0767263862604299,0.883750543914701,0.347917638287509,1,1,0.707765907517032,0.347917638287509,0.701589901277421,0.421639883718648,1,1
"cellular calcium ion homeostasis [GO:0006874]",0.51018120108921,1,0.0658446954991006,0.40538428987433,0.77142575540323,1,1,0.0715132857352255,1,0.0401771094207429,1,0.133074313565015,1,1,1,1,0.560955950684567,1,1,1
"cellular metal ion homeostasis [GO:0006875]",0.585261470837419,0.712129956339789,0.164033767719722,0.421681443362798,0.59906309841756,1,1,0.105471245378035,0.438118331426206,0.106056500373194,1,0.193063326218104,1,1,0.84419767077429,0.193063326218104,0.709606122269442,0.24019849507287,1,1
"cellular cadmium ion homeostasis [GO:0006876]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular cobalt ion homeostasis [GO:0006877]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular copper ion homeostasis [GO:0006878]",0.784492357931956,1,1,1,1,1,0.0472534306804665,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular iron ion homeostasis [GO:0006879]",0.630174876463064,0.326352176109504,1,0.762459766615882,0.381678221213102,1,1,1,0.167134340118884,1,1,1,1,1,0.445563457360011,0.0657897571394166,1,0.0834589370501534,1,1
"intracellular sequestering of iron ion [GO:0006880]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"extracellular sequestering of iron ion [GO:0006881]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular zinc ion homeostasis [GO:0006882]",0.827909592231031,1,1,0.754237030752351,0.363883211334849,1,0.155894367144262,1,1,1,1,1,1,1,0.178333266696869,1,1,1,1,1
"cellular sodium ion homeostasis [GO:0006883]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell volume homeostasis [GO:0006884]",0.784492357931956,1,1,0.330232358271452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of pH [GO:0006885]",0.146480243784893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.105928784592856,1,1,1
"intracellular protein transport [GO:0006886]",0.815253761660838,0.656150297417931,0.533378652973801,0.659586372729082,0.453020119236864,0.434481783628872,0.809984215034631,1,0.794848868808226,0.0364971400350804,0.792693185631082,0.445350441063541,0.712725577055014,1,0.125704011408583,0.0195533591909056,0.850452836778105,0.170104401131902,1,0.314087768685615
"exocytosis [GO:0006887]",0.145278494393927,1,1,0.569571546451604,0.201047030905392,1,1,1,1,0.583703711248571,1,1,1,1,0.159784415349217,1,0.607717111977273,1,1,1
"ER to Golgi vesicle-mediated transport [GO:0006888]",0.706471039981133,1,1,0.660442068224415,0.0986723659445228,1,0.353455809064334,1,1,1,0.254358547253796,0.0566523973438282,1,1,1,1,1,1,1,1
"regulation of calcium in ER [GO:0006889]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"retrograde vesicle-mediated transport, Golgi to ER [GO:0006890]",0.467385498081233,1,1,1,0.476059338188394,1,0.0225554488293248,1,1,1,1,1,1,1,1,0.0318647229703231,1,1,1,1
"intra-Golgi vesicle-mediated transport [GO:0006891]",0.897562943648624,1,1,0.798906755434492,0.403712516084388,0.21206356495493,1,1,1,1,0.122224134646116,1,1,1,1,0.0255707902434401,1,1,1,1
"post-Golgi vesicle-mediated transport [GO:0006892]",0.830692329885324,1,1,0.522924081093678,0.490361616532127,0.176450606961005,0.0233469526326119,1,1,1,1,1,1,1,0.518318475327331,1,0.384818022125762,1,1,1
"Golgi to plasma membrane transport [GO:0006893]",0.926610521124415,1,1,0.122675571099566,0.508877673935362,1,0.233861069389196,1,1,1,1,1,1,1,0.265629516183413,1,1,1,1,1
"Golgi to secretory vesicle transport [GO:0006894]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Golgi to endosome transport [GO:0006895]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Golgi to vacuole transport [GO:0006896]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"endocytosis [GO:0006897]",0.244151041453421,0.743078872713942,0.787705188502951,0.557574282083206,0.990658636764268,0.883992922595374,0.247194507649979,0.114531453590372,1,0.128568836570554,1,1,0.431354681589147,1,0.596702151529675,1,0.385630922484965,1,1,1
"receptor-mediated endocytosis [GO:0006898]",0.277401586963278,1,1,0.630751614160297,0.896284843607558,1,0.050323896317275,1,1,0.458194552208189,1,1,0.512822237494325,1,0.626153483128005,1,0.480244556626054,1,1,1
"membrane budding [GO:0006900]",0.83992069647233,1,1,0.731566692359374,1,1,0.00113554798105525,1,1,0.29521024110148,0.278314098127702,0.0627534523979302,1,1,1,0.0627534523979302,1,1,1,1
"vesicle coating [GO:0006901]",0.706471039981133,1,1,0.86482288308473,1,1,0.00842355656954521,1,1,0.270086341339972,0.254358547253796,0.0566523973438282,1,1,1,0.0566523973438282,1,1,1,1
"vesicle targeting [GO:0006903]",0.617818715052419,1,1,0.966980941541342,1,1,0.000590022557445007,1,1,1,0.242086633943292,0.0535875903176548,1,1,1,0.0535875903176548,1,1,1,1
"vesicle docking involved in exocytosis [GO:0006904]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vesicle transport [GO:0006905]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vesicle fusion [GO:0006906]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"pinocytosis [GO:0006907]",0.739158310829177,1,1,0.551462785476083,1,0.112314394659303,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phagocytosis [GO:0006909]",0.312792954837353,0.351263081912114,1,0.622736340628386,1,1,1,0.0379925810314725,1,0.0594385374613412,1,1,1,1,0.475893045389657,1,1,1,1,1
"phagocytosis, recognition [GO:0006910]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phagocytosis, engulfment [GO:0006911]",0.367885008074404,1,1,1,1,1,1,0.00670532789344647,1,1,1,1,1,1,1,1,1,1,1,1
"phagosome formation [GO:0006912]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nucleocytoplasmic transport [GO:0006913]",0.451158234847643,0.259846181701731,0.602274509804068,0.765400677112127,0.717405939015536,0.941955847901215,0.901076197584403,1,0.564532783501459,0.492623373441156,0.789216043536172,0.266075935522625,0.578341208823281,1,0.268307241114929,0.266075935522625,0.831906495172183,0.0583195033476689,1,0.179521631219157
"autophagy [GO:0006914]",0.718527003516308,0.431461570788287,0.474792820537839,0.981405293469702,0.856543998434401,0.056579481731397,0.160412357147149,0.0492882829536994,1,0.408519606462127,1,1,1,1,0.569614559947207,1,0.105518168178849,1,1,1
"apoptotic process [GO:0006915]",0.973367396555283,0.511272438787055,0.0812212976404783,0.242489314086359,0.495550482033024,0.838713851427975,0.0913892098458728,1,0.381724641459831,0.048112516817911,0.700162240045963,1,0.451227163864859,1,0.414896114549939,0.697739206440938,0.350838683110283,0.444120594215769,1,0.534796624416896
"induction of apoptosis [GO:0006917]",0.512559596142256,0.671317460740655,0.356856539726284,0.514625971809717,0.509120642608204,0.828582512932463,0.166775239323478,1,1,0.0820327550937794,1,1,1,1,0.488889147201221,1,1,1,1,1
"induction of apoptosis by p53 [GO:0006918]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]",0.907971399936634,1,0.451711064383933,0.235139182579414,0.254020302403146,1,0.028415637097273,1,1,0.387406806802794,1,1,0.43731606503166,1,1,1,1,1,1,1
"commitment to apoptosis [GO:0006920]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular component disassembly involved in execution phase of apoptosis [GO:0006921]",0.999380412718907,0.0781169757607372,1,0.00874222541606984,0.46956522015231,1,0.454466770644505,1,0.195693155033715,1,0.334914548797035,1,1,1,1,1,0.373195479803656,1,1,0.0505132256812136
"cleavage of lamin involved in execution phase of apoptosis [GO:0006922]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cleavage of cytoskeletal proteins involved in execution phase of apoptosis [GO:0006923]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation-induced cell death of T cells [GO:0006924]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inflammatory cell apoptotic process [GO:0006925]",0.739158310829177,1,1,0.551462785476083,1,0.112314394659303,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"virus-infected cell apoptotic process [GO:0006926]",1,1,1,1,1,1,0.0239110766446944,1,1,1,1,1,1,1,1,1,1,1,1,1
"transformed cell apoptotic process [GO:0006927]",0.286982373876238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular component movement [GO:0006928]",0.179069394445839,0.994167116574066,0.980061041491634,0.755492994462364,0.621256405218955,0.391831823069093,0.627297919723482,0.368963645353562,1,0.322768896397044,0.935487515978391,0.587726961835138,0.304989370257057,1,0.125807748560867,1,0.0610600091160307,0.678479139632157,1,1
"substrate-dependent cell migration [GO:0006929]",0.55352165945179,1,1,1,1,1,0.0700405173416313,1,1,1,1,1,1,1,1,1,1,1,1,1
"substrate-dependent cell migration, cell extension [GO:0006930]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"substrate-dependent cell migration, cell attachment to substrate [GO:0006931]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"substrate-dependent cell migration, cell contraction [GO:0006932]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"substrate-bound cell migration, adhesion receptor recycling [GO:0006934]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
