"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"regulation of heart rate by hormone [GO:0003064]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of heart rate by epinephrine [GO:0003065]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of heart rate by norepinephrine [GO:0003066]",1,1,1,1,1,1,1,1,1,1,1,1
"circadian regulation of systemic arterial blood pressure by hormone [GO:0003067]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of systemic arterial blood pressure by acetylcholine [GO:0003068]",1,1,1,1,1,1,1,1,1,1,1,1
"vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure [GO:0003069]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of systemic arterial blood pressure by neurotransmitter [GO:0003070]",1,1,1,1,1,1,1,1,1,1,1,1
"renal system process involved in regulation of systemic arterial blood pressure [GO:0003071]",1,1,1,1,1,1,1,1,1,1,1,1
"renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure [GO:0003072]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of systemic arterial blood pressure [GO:0003073]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of diuresis [GO:0003074]",1,1,1,1,1,1,1,1,1,1,1,1
"renal vasodilation of the peripheral vascular system involved in regulation of systemic arterial blood pressure [GO:0003075]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of diuresis [GO:0003077]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of natriuresis [GO:0003078]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of natriuresis [GO:0003079]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of natriuresis [GO:0003080]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of renal output by angiotensin [GO:0003082]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of renal output by angiotensin [GO:0003083]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of systemic arterial blood pressure [GO:0003084]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of systemic arterial blood pressure [GO:0003085]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of systemic arterial blood pressure by local renal renin-angiotensin [GO:0003086]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of the force of heart contraction by neuronal epinephrine [GO:0003087]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of the force of heart contraction by circulating epinephrine [GO:0003088]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of the force of heart contraction by circulating epinephrine-norepinephrine [GO:0003089]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of the force of heart contraction by neuronal epinephrine-norepinephrine [GO:0003090]",1,1,1,1,1,1,1,1,1,1,1,1
"renal water homeostasis [GO:0003091]",1,1,1,1,1,1,1,1,1,1,1,1
"renal water retention [GO:0003092]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of glomerular filtration [GO:0003093]",1,1,1,1,1,1,1,1,1,1,1,1
"glomerular filtration [GO:0003094]",1,1,1,1,1,1,1,1,1,1,1,1
"pressure natriuresis [GO:0003095]",1,1,1,1,1,1,1,1,1,1,1,1
"renal sodium ion transport [GO:0003096]",1,1,1,1,1,1,1,1,1,1,1,1
"renal water transport [GO:0003097]",1,1,1,1,1,1,1,1,1,1,1,1
"tubuloglomerular feedback [GO:0003098]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of the force of heart contraction by chemical signal [GO:0003099]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of systemic arterial blood pressure by endothelin [GO:0003100]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of systemic arterial blood pressure by circulatory epinephrine-norepinephrine [GO:0003101]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of diuresis by angiotensin [GO:0003102]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of diuresis [GO:0003103]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of glomerular filtration [GO:0003104]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of glomerular filtration [GO:0003105]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of glomerular filtration by angiotensin [GO:0003106]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of natriuresis by angiotensin [GO:0003107]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of the force of heart contraction by chemical signal [GO:0003108]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of the force of heart contraction by circulating norepinephrine [GO:0003109]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of the force of heart contraction by neuronal norepinephrine [GO:0003110]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of heart rate by circulating epinephrine [GO:0003111]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of heart rate by neuronal epinephrine [GO:0003112]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of heart rate by neuronal norepinephrine [GO:0003113]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of heart rate by circulating norepinephrine [GO:0003114]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasoconstriction by epinephrine [GO:0003115]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasoconstriction by norepinephrine [GO:0003116]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasoconstriction by circulating norepinephrine [GO:0003117]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasoconstriction by neuronal norepinephrine [GO:0003118]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasoconstriction by neuronal epinephrine [GO:0003119]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasoconstriction by circulating epinephrine [GO:0003120]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasodilation by epinephrine [GO:0003121]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasodilation by norepinephrine [GO:0003122]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasodilation by circulating epinephrine [GO:0003123]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasodilation by neuronal epinephrine [GO:0003124]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasodilation by circulating norepinephrine [GO:0003125]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of vasodilation by neuronal norepinephrine [GO:0003126]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of nodal flow [GO:0003127]",1,1,1,1,1,1,1,1,1,1,1,1
"heart field specification [GO:0003128]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"heart induction [GO:0003129]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"BMP signaling pathway involved in heart induction [GO:0003130]",1,1,1,1,1,1,1,1,1,1,1,1
"mesodermal-endodermal cell signaling [GO:0003131]",1,1,1,1,1,1,1,1,1,1,1,1
"mesodermal-endodermal cell signaling involved in heart induction [GO:0003132]",1,1,1,1,1,1,1,1,1,1,1,1
"endodermal-mesodermal cell signaling [GO:0003133]",1,1,1,1,1,1,1,1,1,1,1,1
"endodermal-mesodermal cell signaling involved in heart induction [GO:0003134]",1,1,1,1,1,1,1,1,1,1,1,1
"fibroblast growth factor receptor signaling pathway involved in heart induction [GO:0003135]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of heart induction by canonical Wnt receptor signaling pathway [GO:0003136]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"Notch signaling pathway involved in heart induction [GO:0003137]",1,1,1,1,1,1,1,1,1,1,1,1
"primary heart field specification [GO:0003138]",1,1,1,1,1,1,1,1,1,1,1,1
"secondary heart field specification [GO:0003139]",1,1,1,1,1,1,1,1,1,1,1,1
"determination of left/right asymmetry in lateral mesoderm [GO:0003140]",1,1,1,1,1,1,1,1,1,1,1,1
"transforming growth factor beta receptor signaling pathway involved in determination of lateral mesoderm left/right asymmetry [GO:0003141]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiogenic plate morphogenesis [GO:0003142]",1,1,1,1,1,1,1,1,1,1,1,1
"embryonic heart tube morphogenesis [GO:0003143]",1,1,1,1,1,1,1,1,1,1,1,1
"embryonic heart tube formation [GO:0003144]",1,1,1,1,1,1,1,1,1,1,1,1
"embryonic heart tube formation via epithelial folding [GO:0003145]",1,1,1,1,1,1,1,1,1,1,1,1
"heart jogging [GO:0003146]",1,1,1,1,1,1,1,1,1,1,1,1
"neural crest cell migration involved in heart formation [GO:0003147]",1,1,1,1,1,1,1,1,1,1,1,1
"outflow tract septum morphogenesis [GO:0003148]",1,1,1,1,1,1,1,1,1,1,1,1
"membranous septum morphogenesis [GO:0003149]",1,1,1,1,1,1,1,1,1,1,1,1
"muscular septum morphogenesis [GO:0003150]",1,1,1,1,1,1,1,1,1,1,1,1
"outflow tract morphogenesis [GO:0003151]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"morphogenesis of an epithelial fold involved in embryonic heart tube formation [GO:0003152]",1,1,1,1,1,1,1,1,1,1,1,1
"closure of embryonic heart tube [GO:0003153]",1,1,1,1,1,1,1,1,1,1,1,1
"BMP signaling pathway involved in determination of left/right symmetry [GO:0003154]",1,1,1,1,1,1,1,1,1,1,1,1
"BMP signaling pathway involved in determination of lateral mesoderm left/right asymmetry [GO:0003155]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of organ formation [GO:0003156]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"endocardium development [GO:0003157]",1,1,1,1,1,1,1,1,1,1,1,1
"endothelium development [GO:0003158]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"morphogenesis of an endothelium [GO:0003159]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"endocardium morphogenesis [GO:0003160]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac conduction system development [GO:0003161]",1,1,1,1,1,1,1,1,1,1,1,1
"atrioventricular node development [GO:0003162]",1,1,1,1,1,1,1,1,1,1,1,1
"sinoatrial node development [GO:0003163]",1,1,1,1,1,1,1,1,1,1,1,1
"His-Purkinje system development [GO:0003164]",1,1,1,1,1,1,1,1,1,1,1,1
"Purkinje myocyte development [GO:0003165]",1,1,1,1,1,1,1,1,1,1,1,1
"bundle of His development [GO:0003166]",1,1,1,1,1,1,1,1,1,1,1,1
"atrioventricular bundle cell differentiation [GO:0003167]",1,1,1,1,1,1,1,1,1,1,1,1
"Purkinje myocyte differentiation [GO:0003168]",1,1,1,1,1,1,1,1,1,1,1,1
"coronary vein morphogenesis [GO:0003169]",1,1,1,1,1,1,1,1,1,1,1,1
"heart valve development [GO:0003170]",1,1,1,1,1,1,1,1,1,1,1,1
"atrioventricular valve development [GO:0003171]",1,1,1,1,1,1,1,1,1,1,1,1
"sinoatrial valve development [GO:0003172]",1,1,1,1,1,1,1,1,1,1,1,1
"ventriculo bulbo valve development [GO:0003173]",1,1,1,1,1,1,1,1,1,1,1,1
"mitral valve development [GO:0003174]",1,1,1,1,1,1,1,1,1,1,1,1
"tricuspid valve development [GO:0003175]",1,1,1,1,1,1,1,1,1,1,1,1
"aortic valve development [GO:0003176]",1,1,1,1,1,1,1,1,1,1,1,1
"pulmonary valve development [GO:0003177]",1,1,1,1,1,1,1,1,1,1,1,1
"coronary sinus valve development [GO:0003178]",1,1,1,1,1,1,1,1,1,1,1,1
"heart valve morphogenesis [GO:0003179]",1,1,1,1,1,1,1,1,1,1,1,1
"aortic valve morphogenesis [GO:0003180]",1,1,1,1,1,1,1,1,1,1,1,1
"atrioventricular valve morphogenesis [GO:0003181]",1,1,1,1,1,1,1,1,1,1,1,1
"coronary sinus valve morphogenesis [GO:0003182]",1,1,1,1,1,1,1,1,1,1,1,1
"mitral valve morphogenesis [GO:0003183]",1,1,1,1,1,1,1,1,1,1,1,1
"pulmonary valve morphogenesis [GO:0003184]",1,1,1,1,1,1,1,1,1,1,1,1
"sinoatrial valve morphogenesis [GO:0003185]",1,1,1,1,1,1,1,1,1,1,1,1
"tricuspid valve morphogenesis [GO:0003186]",1,1,1,1,1,1,1,1,1,1,1,1
"ventriculo bulbo valve morphogenesis [GO:0003187]",1,1,1,1,1,1,1,1,1,1,1,1
"heart valve formation [GO:0003188]",1,1,1,1,1,1,1,1,1,1,1,1
"aortic valve formation [GO:0003189]",1,1,1,1,1,1,1,1,1,1,1,1
"atrioventricular valve formation [GO:0003190]",1,1,1,1,1,1,1,1,1,1,1,1
"coronary sinus valve formation [GO:0003191]",1,1,1,1,1,1,1,1,1,1,1,1
"mitral valve formation [GO:0003192]",1,1,1,1,1,1,1,1,1,1,1,1
"pulmonary valve formation [GO:0003193]",1,1,1,1,1,1,1,1,1,1,1,1
"sinoatrial valve formation [GO:0003194]",1,1,1,1,1,1,1,1,1,1,1,1
"tricuspid valve formation [GO:0003195]",1,1,1,1,1,1,1,1,1,1,1,1
"ventriculo bulbo valve formation [GO:0003196]",1,1,1,1,1,1,1,1,1,1,1,1
"endocardial cushion development [GO:0003197]",1,1,1,1,1,1,1,1,1,1,1,1
"epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]",1,1,1,1,1,1,1,1,1,1,1,1
"endocardial cushion to mesenchymal transition involved in heart valve formation [GO:0003199]",1,1,1,1,1,1,1,1,1,1,1,1
"endocardial cushion to mesenchymal transition involved in heart chamber septation [GO:0003200]",1,1,1,1,1,1,1,1,1,1,1,1
"epithelial to mesenchymal transition involved in coronary vasculature morphogenesis [GO:0003201]",1,1,1,1,1,1,1,1,1,1,1,1
"endocardial cushion to mesenchymal transition involved in cardiac skeleton development [GO:0003202]",1,1,1,1,1,1,1,1,1,1,1,1
"endocardial cushion morphogenesis [GO:0003203]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac skeleton development [GO:0003204]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac chamber development [GO:0003205]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac chamber morphogenesis [GO:0003206]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac chamber formation [GO:0003207]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac ventricle morphogenesis [GO:0003208]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac atrium morphogenesis [GO:0003209]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac atrium formation [GO:0003210]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac ventricle formation [GO:0003211]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac left atrium morphogenesis [GO:0003212]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac right atrium morphogenesis [GO:0003213]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac left ventricle morphogenesis [GO:0003214]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac right ventricle morphogenesis [GO:0003215]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac left atrium formation [GO:0003216]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac right atrium formation [GO:0003217]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac left ventricle formation [GO:0003218]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac right ventricle formation [GO:0003219]",1,1,1,1,1,1,1,1,1,1,1,1
"left ventricular cardiac muscle tissue morphogenesis [GO:0003220]",1,1,1,1,1,1,1,1,1,1,1,1
"right ventricular cardiac muscle tissue morphogenesis [GO:0003221]",1,1,1,1,1,1,1,1,1,1,1,1
"ventricular trabecula myocardium morphogenesis [GO:0003222]",1,1,1,1,1,1,1,1,1,1,1,1
"ventricular compact myocardium morphogenesis [GO:0003223]",1,1,1,1,1,1,1,1,1,1,1,1
"left ventricular compact myocardium morphogenesis [GO:0003224]",1,1,1,1,1,1,1,1,1,1,1,1
"left ventricular trabecular myocardium morphogenesis [GO:0003225]",1,1,1,1,1,1,1,1,1,1,1,1
"right ventricular compact myocardium morphogenesis [GO:0003226]",1,1,1,1,1,1,1,1,1,1,1,1
"right ventricular trabecular myocardium morphogenesis [GO:0003227]",1,1,1,1,1,1,1,1,1,1,1,1
"atrial cardiac muscle tissue development [GO:0003228]",1,1,1,1,1,1,1,1,1,1,1,1
"ventricular cardiac muscle tissue development [GO:0003229]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac atrium development [GO:0003230]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac ventricle development [GO:0003231]",1,1,1,1,1,1,1,1,1,1,1,1
"bulbus arteriosus development [GO:0003232]",1,1,1,1,1,1,1,1,1,1,1,1
"bulbus arteriosus morphogenesis [GO:0003233]",1,1,1,1,1,1,1,1,1,1,1,1
"bulbus arteriosus formation [GO:0003234]",1,1,1,1,1,1,1,1,1,1,1,1
"sinus venosus development [GO:0003235]",1,1,1,1,1,1,1,1,1,1,1,1
"sinus venosus morphogenesis [GO:0003236]",1,1,1,1,1,1,1,1,1,1,1,1
"sinus venosus formation [GO:0003237]",1,1,1,1,1,1,1,1,1,1,1,1
"conus arteriosus development [GO:0003238]",1,1,1,1,1,1,1,1,1,1,1,1
"conus arteriosus morphogenesis [GO:0003239]",1,1,1,1,1,1,1,1,1,1,1,1
"conus arteriosus formation [GO:0003240]",1,1,1,1,1,1,1,1,1,1,1,1
"growth involved in heart morphogenesis [GO:0003241]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac chamber ballooning [GO:0003242]",1,1,1,1,1,1,1,1,1,1,1,1
"circumferential growth involved in left ventricle morphogenesis [GO:0003243]",1,1,1,1,1,1,1,1,1,1,1,1
"radial growth involved in right ventricle morphogenesis [GO:0003244]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac muscle tissue growth involved in heart morphogenesis [GO:0003245]",1,1,1,1,1,1,1,1,1,1,1,1
"embryonic cardiac muscle cell growth involved in heart morphogenesis [GO:0003246]",1,1,1,1,1,1,1,1,1,1,1,1
"post-embryonic cardiac muscle cell growth involved in heart morphogenesis [GO:0003247]",1,1,1,1,1,1,1,1,1,1,1,1
"heart capillary growth [GO:0003248]",1,1,1,1,1,1,1,1,1,1,1,1
"cell proliferation involved in heart valve morphogenesis [GO:0003249]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cell proliferation involved in heart valve morphogenesis [GO:0003250]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of cell proliferation involved in heart valve morphogenesis [GO:0003251]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of cell proliferation involved in heart valve morphogenesis [GO:0003252]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac neural crest cell migration involved in outflow tract morphogenesis [GO:0003253]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of membrane depolarization [GO:0003254]",1,1,1,1,1,1,1,1,1,1,1,1
"endocardial precursor cell differentiation [GO:0003255]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation [GO:0003256]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation [GO:0003257]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription from RNA polymerase II promoter involved in endocardial precursor cell differentiation [GO:0003258]",1,1,1,1,1,1,1,1,1,1,1,1
"cardioblast anterior-lateral migration [GO:0003259]",1,1,1,1,1,1,1,1,1,1,1,1
"cardioblast migration [GO:0003260]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac muscle progenitor cell migration to the midline involved in heart field formation [GO:0003261]",1,1,1,1,1,1,1,1,1,1,1,1
"endocardial progenitor cell migration to the midline involved in heart field formation [GO:0003262]",1,1,1,1,1,1,1,1,1,1,1,1
"cardioblast proliferation [GO:0003263]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cardioblast proliferation [GO:0003264]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of primary heart field cardioblast proliferation [GO:0003265]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of secondary heart field cardioblast proliferation [GO:0003266]",1,1,1,1,1,1,1,1,1,1,1,1
"canonical Wnt receptor signaling pathway involved in positive regulation of secondary heart field cardioblast proliferation [GO:0003267]",1,1,1,1,1,1,1,1,1,1,1,1
"fibroblast growth factor receptor signaling pathway involved in regulation of secondary heart field cardioblast proliferation [GO:0003268]",1,1,1,1,1,1,1,1,1,1,1,1
"BMP signaling pathway involved in regulation of secondary heart field cardioblast proliferation [GO:0003269]",1,1,1,1,1,1,1,1,1,1,1,1
"Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation [GO:0003270]",1,1,1,1,1,1,1,1,1,1,1,1
"smoothened signaling pathway involved in regulation of secondary heart field cardioblast proliferation [GO:0003271]",1,1,1,1,1,1,1,1,1,1,1,1
"endocardial cushion formation [GO:0003272]",1,1,1,1,1,1,1,1,1,1,1,1
"cell migration involved in endocardial cushion formation [GO:0003273]",1,1,1,1,1,1,1,1,1,1,1,1
"endocardial cushion fusion [GO:0003274]",1,1,1,1,1,1,1,1,1,1,1,1
"apoptotic process involved in outflow tract morphogenesis [GO:0003275]",1,1,1,1,1,1,1,1,1,1,1,1
"apoptotic process involved in heart valve morphogenesis [GO:0003276]",1,1,1,1,1,1,1,1,1,1,1,1
"apoptotic process involved in endocardial cushion morphogenesis [GO:0003277]",1,1,1,1,1,1,1,1,1,1,1,1
"apoptotic process involved in heart morphogenesis [GO:0003278]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac septum development [GO:0003279]",1,1,1,1,1,1,1,1,1,1,1,1
"ventricular septum development [GO:0003281]",1,1,1,1,1,1,1,1,1,1,1,1
"ventricular septum intermedium development [GO:0003282]",1,1,1,1,1,1,1,1,1,1,1,1
"atrial septum development [GO:0003283]",1,1,1,1,1,1,1,1,1,1,1,1
"septum primum development [GO:0003284]",1,1,1,1,1,1,1,1,1,1,1,1
"septum secundum development [GO:0003285]",1,1,1,1,1,1,1,1,1,1,1,1
"atrial septum intermedium development [GO:0003286]",1,1,1,1,1,1,1,1,1,1,1,1
"ventricular septum intermedium morphogenesis [GO:0003288]",1,1,1,1,1,1,1,1,1,1,1,1
"atrial septum primum morphogenesis [GO:0003289]",1,1,1,1,1,1,1,1,1,1,1,1
"atrial septum secundum morphogenesis [GO:0003290]",1,1,1,1,1,1,1,1,1,1,1,1
"atrial septum intermedium morphogenesis [GO:0003291]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac septum cell differentiation [GO:0003292]",1,1,1,1,1,1,1,1,1,1,1,1
"heart valve cell differentiation [GO:0003293]",1,1,1,1,1,1,1,1,1,1,1,1
"atrial ventricular junction remodeling [GO:0003294]",1,1,1,1,1,1,1,1,1,1,1,1
"cell proliferation involved in atrial ventricular junction remodeling [GO:0003295]",1,1,1,1,1,1,1,1,1,1,1,1
"apoptotic process involved in atrial ventricular junction remodeling [GO:0003296]",1,1,1,1,1,1,1,1,1,1,1,1
"heart wedging [GO:0003297]",1,1,1,1,1,1,1,1,1,1,1,1
"physiological muscle hypertrophy [GO:0003298]",1,1,1,1,1,1,1,1,1,1,1,1
"muscle hypertrophy in response to stress [GO:0003299]",1,1,1,1,1,1,1,1,1,1,1,1
"cardiac muscle hypertrophy [GO:0003300]",1,1,1,1,1,1,1,1,1,1,1,1
"physiological cardiac muscle hypertrophy [GO:0003301]",1,1,1,1,1,1,1,1,1,1,1,1
"transforming growth factor beta receptor signaling pathway involved in heart jogging [GO:0003302]",1,1,1,1,1,1,1,1,1,1,1,1
"BMP signaling pathway involved in heart jogging [GO:0003303]",1,1,1,1,1,1,1,1,1,1,1,1
"myocardial epithelial involution involved in heart jogging [GO:0003304]",1,1,1,1,1,1,1,1,1,1,1,1
"cell migration involved in heart jogging [GO:0003305]",1,1,1,1,1,1,1,1,1,1,1,1
"Wnt receptor signaling pathway involved in heart development [GO:0003306]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"regulation of Wnt receptor signaling pathway involved in heart development [GO:0003307]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of Wnt receptor signaling pathway involved in heart development [GO:0003308]",1,1,1,1,1,1,1,1,1,1,1,1
"type B pancreatic cell differentiation [GO:0003309]",1,1,1,1,1,1,1,1,1,1,1,1
"pancreatic A cell differentiation [GO:0003310]",1,1,1,1,1,1,1,1,1,1,1,1
"pancreatic D cell differentiation [GO:0003311]",1,1,1,1,1,1,1,1,1,1,1,1
"pancreatic PP cell differentiation [GO:0003312]",1,1,1,1,1,1,1,1,1,1,1,1
"heart rudiment development [GO:0003313]",1,1,1,1,1,1,1,1,1,1,1,1
"heart rudiment morphogenesis [GO:0003314]",1,1,1,1,1,1,1,1,1,1,1,1
"heart rudiment formation [GO:0003315]",1,1,1,1,1,1,1,1,1,1,1,1
"establishment of myocardial progenitor cell apical/basal polarity [GO:0003316]",1,1,1,1,1,1,1,1,1,1,1,1
"cardioblast cell midline fusion [GO:0003317]",1,1,1,1,1,1,1,1,1,1,1,1
"cell migration to the midline involved in heart development [GO:0003318]",1,1,1,1,1,1,1,1,1,1,1,1
"cardioblast migration to the midline involved in heart rudiment formation [GO:0003319]",1,1,1,1,1,1,1,1,1,1,1,1
"heart rudiment involution [GO:0003320]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of blood pressure by epinephrine-norepinephrine [GO:0003321]",1,1,1,1,1,1,1,1,1,1,1,1
"pancreatic A cell development [GO:0003322]",1,1,1,1,1,1,1,1,1,1,1,1
"type B pancreatic cell development [GO:0003323]",1,1,1,1,1,1,1,1,1,1,1,1
"pancreatic D cell development [GO:0003324]",1,1,1,1,1,1,1,1,1,1,1,1
"pancreatic PP cell development [GO:0003325]",1,1,1,1,1,1,1,1,1,1,1,1
"pancreatic A cell fate commitment [GO:0003326]",1,1,1,1,1,1,1,1,1,1,1,1
"type B pancreatic cell fate commitment [GO:0003327]",1,1,1,1,1,1,1,1,1,1,1,1
"pancreatic D cell fate commitment [GO:0003328]",1,1,1,1,1,1,1,1,1,1,1,1
"pancreatic PP cell fate commitment [GO:0003329]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of extracellular matrix constituent secretion [GO:0003330]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of extracellular matrix constituent secretion [GO:0003331]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of extracellular matrix constituent secretion [GO:0003332]",1,1,1,1,1,1,1,1,1,1,1,1
"amino acid transmembrane transport [GO:0003333]",1,1,1,1,1,1,1,1,1,1,1,1
"keratinocyte development [GO:0003334]",1,1,1,1,1,1,1,1,1,1,1,1
"corneocyte development [GO:0003335]",1,1,1,1,1,1,1,1,1,1,1,1
"corneocyte desquamation [GO:0003336]",1,1,1,1,1,1,1,1,1,1,1,1
"mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0003337]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"metanephros morphogenesis [GO:0003338]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0003339]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0003340]",1,1,1,1,1,1,1,1,1,1,1,1
"cilium movement [GO:0003341]",1,1,1,1,1,1,1,1,1,0.0410677618069816,1,1
"proepicardium development [GO:0003342]",1,1,1,1,1,1,1,1,1,1,1,1
"septum transversum development [GO:0003343]",1,1,1,1,1,1,1,1,1,1,1,1
"pericardium morphogenesis [GO:0003344]",1,1,1,1,1,1,1,1,1,1,1,1
"proepicardium cell migration involved in pericardium morphogenesis [GO:0003345]",1,1,1,1,1,1,1,1,1,1,1,1
"epicardium-derived cell migration to the myocardium [GO:0003346]",1,1,1,1,1,1,1,1,1,1,1,1
