"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"activation of MAPK during sporulation (sensu Fungi) [GO:0030439]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKK during sporulation (sensu Fungi) [GO:0030440]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK during sporulation (sensu Fungi) [GO:0030441]",1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK during sporulation (sensu Fungi) [GO:0030442]",1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK during sporulation (sensu Fungi) [GO:0030443]",1,1,1,1,1,1,1,1,1,1
"microtubule depolymerization during nuclear congression [GO:0030444]",1,1,1,1,1,1,1,1,1,1
"filamentous growth [GO:0030447]",1,1,1,1,1,1,1,1,1,1
"hyphal growth [GO:0030448]",1,1,1,1,1,1,1,1,1,1
"regulation of complement activation [GO:0030449]",0.259373902344988,1,1,0.726343177701654,1,1,1,1,1,1
"regulation of complement activation, classical pathway [GO:0030450]",1,1,1,1,1,1,1,1,1,1
"regulation of complement activation, alternative pathway [GO:0030451]",1,1,1,1,1,1,1,1,1,1
"MAPKKK cascade (mating sensu Fungi) [GO:0030455]",1,1,1,1,1,1,1,1,1,1
"activation of MAPK (mating sensu Fungi) [GO:0030456]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKK (mating sensu Fungi) [GO:0030457]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK (mating sensu Fungi) [GO:0030458]",1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK (mating sensu Fungi) [GO:0030459]",1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK (mating sensu Fungi) [GO:0030460]",1,1,1,1,1,1,1,1,1,1
"cell aging (sensu Fungi) [GO:0030463]",1,1,1,1,1,1,1,1,1,1
"aging dependent sterility (sensu Fungi) [GO:0030464]",1,1,1,1,1,1,1,1,1,1
"autophagic death (sensu Fungi) [GO:0030465]",1,1,1,1,1,1,1,1,1,1
"chromatin silencing at silent mating-type cassette [GO:0030466]",1,1,1,1,1,1,1,1,1,1
"spore germination (sensu Fungi) [GO:0030470]",1,1,1,1,1,1,1,1,1,1
"spindle pole body and microtubule cycle (sensu Fungi) [GO:0030471]",1,1,1,1,1,1,1,1,1,1
"mitotic spindle organization in nucleus [GO:0030472]",1,1,1,1,1,0.00904743440610012,1,1,1,1
"nuclear migration along microtubule [GO:0030473]",1,1,1,1,1,1,1,1,1,1
"spindle pole body duplication [GO:0030474]",1,1,1,1,1,1,1,1,1,1
"ascospore wall assembly [GO:0030476]",1,1,1,1,1,1,1,1,1,1
"tRNA methylation [GO:0030488]",1,1,1,1,1,1,1,1,1,1
"processing of 27S pre-rRNA [GO:0030489]",1,1,1,1,1,1,1,1,1,1
"maturation of SSU-rRNA [GO:0030490]",0.577954310046501,1,1,1,1,1,1,0.0630028823032046,1,1
"heteroduplex formation [GO:0030491]",1,1,1,1,1,1,1,1,1,1
"bacteriochlorophyll metabolic process [GO:0030493]",1,1,1,1,1,1,1,1,1,1
"bacteriochlorophyll biosynthetic process [GO:0030494]",1,1,1,1,1,1,1,1,1,1
"bacteriochlorophyll catabolic process [GO:0030495]",1,1,1,1,1,1,1,1,1,1
"fatty acid elongation [GO:0030497]",0.552151996898022,1,1,1,1,1,1,1,1,1
"regulation of bone mineralization [GO:0030500]",0.987585566700976,0.600111808196301,0.0912375044221414,0.541595886539279,0.0445466022344935,1,0.297808091737316,1,1,1
"positive regulation of bone mineralization [GO:0030501]",0.965708600529389,0.407522650728557,0.0330287678447099,0.955475738503739,0.1004615721113,1,0.182830769669226,1,1,1
"negative regulation of bone mineralization [GO:0030502]",0.982012917658014,1,1,0.0110689240471134,1,1,1,1,1,1
"inorganic diphosphate transport [GO:0030505]",0.552151996898022,1,1,1,1,1,1,1,1,1
"BMP signaling pathway [GO:0030509]",0.480142353849154,0.305116323381621,0.473034471866608,0.87654203134907,0.927614171904739,1,1,0.106412428246576,0.177954712286368,1
"regulation of BMP signaling pathway [GO:0030510]",0.372498493686226,0.147098925839385,0.325625283448681,0.743302648348813,1,1,1,1,1,1
"positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]",0.259373902344988,1,1,0.726343177701654,1,1,1,1,1,1
"negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]",0.138310718079956,0.664268706046802,0.459867337458172,0.947010546487382,0.70678215695536,1,1,0.419040014048019,1,1
"positive regulation of BMP signaling pathway [GO:0030513]",0.748364503244271,0.024275288828251,1,0.788846792313511,1,1,1,1,1,1
"negative regulation of BMP signaling pathway [GO:0030514]",0.366284110277165,1,0.198689018731618,0.644534182779574,1,1,1,1,1,1
"regulation of axon extension [GO:0030516]",0.577954310046501,1,1,0.540406788508398,1,1,1,1,1,1
"negative regulation of axon extension [GO:0030517]",1,1,1,1,1,1,1,1,1,1
"intracellular steroid hormone receptor signaling pathway [GO:0030518]",0.0253309040245887,1,1,0.642577568893616,0.940875555626998,1,1,1,1,1
"intracellular estrogen receptor signaling pathway [GO:0030520]",0.309624674805881,1,1,0.285073586908006,1,1,1,1,1,1
"androgen receptor signaling pathway [GO:0030521]",0.0953431842700352,1,1,0.833332288713608,0.730640916437399,1,1,1,1,1
"intracellular receptor mediated signaling pathway [GO:0030522]",0.0477364245662534,1,0.799243447573078,0.303870718128228,0.956002617928418,1,1,1,0.38807557361453,1
"adult behavior [GO:0030534]",0.509996474565926,0.353475709210882,0.218182608855642,0.70357034216719,1,1,1,1,1,1
"adult feeding behavior (sensu Insecta) [GO:0030535]",1,1,1,1,1,1,1,1,1,1
"larval feeding behavior [GO:0030536]",1,1,1,1,1,1,1,1,1,1
"larval behavior [GO:0030537]",1,1,1,1,1,1,1,1,1,1
"embryonic genitalia morphogenesis [GO:0030538]",1,1,1,1,1,1,1,1,1,1
"male genitalia development [GO:0030539]",0.761443147362903,0.160029600935699,1,1,0.331925722052428,1,1,1,1,1
"female genitalia development [GO:0030540]",1,1,1,0.404430643175149,0.182619469506778,1,1,1,1,1
"plasmid partitioning [GO:0030541]",1,1,1,1,1,1,1,1,1,1
"2-micrometer plasmid partitioning [GO:0030543]",1,1,1,1,1,1,1,1,1,1
"bile acid catabolic process [GO:0030573]",1,1,1,1,1,1,1,1,1,1
"collagen catabolic process [GO:0030574]",1,1,1,1,1,1,1,1,1,1
"nuclear body organization [GO:0030575]",1,1,1,0.228253845159623,1,1,1,1,1,1
"Cajal body organization [GO:0030576]",1,1,1,1,1,1,1,1,1,1
"Lands organization [GO:0030577]",1,1,1,1,1,1,1,1,1,1
"PML body organization [GO:0030578]",1,1,1,0.228253845159623,1,1,1,1,1,1
"ubiquitin-dependent SMAD protein catabolic process [GO:0030579]",0.0928883613594122,1,1,1,1,1,1,1,1,1
"symbiont intracellular protein transport in host [GO:0030581]",0.30483986281689,1,1,1,1,1,1,1,1,1
"fruiting body development [GO:0030582]",1,1,1,1,1,1,1,1,1,1
"fruiting body development in cellular response to starvation [GO:0030583]",1,1,1,1,1,1,1,1,1,1
"sporocarp development [GO:0030584]",1,1,1,1,1,1,1,1,1,1
"sorocarp development [GO:0030587]",1,1,1,1,1,1,1,1,1,1
"pseudocleavage [GO:0030588]",1,1,1,1,1,1,1,1,1,1
"pseudocleavage involved in syncytial blastoderm formation [GO:0030589]",1,1,1,1,1,1,1,1,1,1
"first cell cycle pseudocleavage [GO:0030590]",1,1,1,1,1,1,1,1,1,1
"DNA ADP-ribosylation [GO:0030592]",1,1,1,1,1,1,1,1,1,1
"neutrophil chemotaxis [GO:0030593]",0.743129117079822,1,0.218182608855642,0.70357034216719,0.635344266195125,1,1,0.195083066369545,1,1
"leukocyte chemotaxis [GO:0030595]",0.0977842650211244,1,0.567500469040784,0.686933658153965,0.851080840744804,1,1,0.522416174370675,1,1
"pyrrolysine incorporation [GO:0030631]",1,1,1,1,1,1,1,1,1,1
"D-alanine biosynthetic process [GO:0030632]",1,1,1,1,1,1,1,1,1,1
"D-alanine family amino acid catabolic process [GO:0030633]",1,1,1,1,1,1,1,1,1,1
"carbon fixation by acetyl-CoA pathway [GO:0030634]",1,1,1,1,1,1,1,1,1,1
"acetate derivative metabolic process [GO:0030635]",1,1,1,1,1,1,1,1,1,1
"acetate derivative biosynthetic process [GO:0030636]",1,1,1,1,1,1,1,1,1,1
"acetate derivative catabolic process [GO:0030637]",1,1,1,1,1,1,1,1,1,1
"polyketide metabolic process [GO:0030638]",1,1,1,1,1,1,1,1,1,1
"polyketide biosynthetic process [GO:0030639]",1,1,1,1,1,1,1,1,1,1
"polyketide catabolic process [GO:0030640]",1,1,1,1,1,1,1,1,1,1
"regulation of cellular pH [GO:0030641]",0.0512669761130184,1,1,1,1,1,1,1,1,1
"cellular sulfate ion homeostasis [GO:0030642]",1,1,1,1,1,1,1,1,1,1
"cellular phosphate ion homeostasis [GO:0030643]",1,1,1,1,1,1,0.0166731291198134,1,1,1
"cellular chloride ion homeostasis [GO:0030644]",1,1,1,1,1,1,1,1,1,1
"glucose catabolic process to butyrate [GO:0030645]",1,1,1,1,1,1,1,1,1,1
"aminoglycoside antibiotic metabolic process [GO:0030647]",0.910219041445484,1,1,0.540406788508398,0.261028823563141,1,1,1,1,1
"aminoglycoside antibiotic biosynthetic process [GO:0030648]",1,1,1,1,1,1,1,1,1,1
"aminoglycoside antibiotic catabolic process [GO:0030649]",1,1,1,1,1,1,1,1,1,1
"peptide antibiotic metabolic process [GO:0030650]",1,1,1,1,1,1,1,1,1,1
"peptide antibiotic biosynthetic process [GO:0030651]",1,1,1,1,1,1,1,1,1,1
"peptide antibiotic catabolic process [GO:0030652]",1,1,1,1,1,1,1,1,1,1
"beta-lactam antibiotic metabolic process [GO:0030653]",1,1,1,1,1,1,1,1,1,1
"beta-lactam antibiotic biosynthetic process [GO:0030654]",1,1,1,1,1,1,1,1,1,1
"beta-lactam antibiotic catabolic process [GO:0030655]",1,1,1,1,1,1,1,1,1,1
"regulation of vitamin metabolic process [GO:0030656]",0.30483986281689,1,1,1,1,1,1,1,1,1
"regulation of coenzyme and prosthetic group metabolic process [GO:0030657]",1,1,1,1,1,1,1,1,1,1
"evasion or tolerance of host defense response [GO:0030682]",1,1,1,0.228253845159623,1,1,1,1,1,1
"evasion or tolerance by virus of host immune response [GO:0030683]",1,1,1,0.228253845159623,1,1,1,1,1,1
"chromatin silencing at centromere [GO:0030702]",1,1,1,1,1,1,1,1,1,1
"eggshell formation [GO:0030703]",1,1,1,1,1,1,1,1,1,1
"vitelline membrane formation [GO:0030704]",1,1,1,1,1,1,1,1,1,1
"cytoskeleton-dependent intracellular transport [GO:0030705]",0.870825527309605,0.273065038932472,1,0.669759034253518,0.0734620888184756,1,1,0.4062615116407,1,1
"germarium-derived oocyte differentiation [GO:0030706]",1,1,1,1,1,1,1,1,1,1
"ovarian follicle cell development [GO:0030707]",1,1,1,1,1,1,1,1,1,1
"germarium-derived female germ-line cyst encapsulation [GO:0030708]",1,1,1,1,1,1,1,1,1,1
"border follicle cell delamination [GO:0030709]",1,1,1,1,1,1,1,1,1,1
"regulation of border follicle cell delamination [GO:0030710]",1,1,1,1,1,1,1,1,1,1
"positive regulation of border follicle cell delamination [GO:0030711]",1,1,1,1,1,1,1,1,1,1
"negative regulation of border follicle cell delamination [GO:0030712]",1,1,1,1,1,1,1,1,1,1
"ovarian follicle cell stalk formation [GO:0030713]",1,1,1,1,1,1,1,1,1,1
"anterior/posterior axis specification, follicular epithelium [GO:0030714]",1,1,1,1,1,1,1,1,1,1
"oocyte growth in germarium-derived egg chamber [GO:0030715]",1,1,1,1,1,1,1,1,1,1
"oocyte fate determination [GO:0030716]",1,1,1,1,1,1,1,1,1,1
"karyosome formation [GO:0030717]",1,1,1,1,1,1,1,1,1,1
"germ-line stem cell maintenance [GO:0030718]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"P granule organization [GO:0030719]",0.552151996898022,1,1,1,1,1,1,1,1,1
"oocyte localization involved in germarium-derived egg chamber formation [GO:0030720]",1,1,1,1,1,1,1,1,1,1
"spectrosome organization [GO:0030721]",1,1,1,1,1,1,1,1,1,1
"establishment of oocyte nucleus localization involved in oocyte dorsal/ventral axis specification [GO:0030722]",1,1,1,1,1,1,1,1,1,1
"ovarian fusome organization [GO:0030723]",1,1,1,1,1,1,1,1,1,1
"testicular fusome organization [GO:0030724]",1,1,1,1,1,1,1,1,1,1
"germline ring canal formation [GO:0030725]",1,1,1,1,1,1,1,1,1,1
"male germline ring canal formation [GO:0030726]",1,1,1,1,1,1,1,1,1,1
"germarium-derived female germ-line cyst formation [GO:0030727]",1,1,1,1,1,1,1,1,1,1
"ovulation [GO:0030728]",1,1,1,1,1,1,1,1,1,1
"sequestering of triglyceride [GO:0030730]",0.761443147362903,0.160029600935699,1,0.645351398218014,1,1,1,1,1,1
"regulation of cyclic nucleotide metabolic process [GO:0030799]",0.442984307021144,0.617214335839539,0.0988136540864625,0.907605172674509,0.35435227899766,1,1,1,1,1
"negative regulation of cyclic nucleotide metabolic process [GO:0030800]",0.612892269734972,1,0.158239724162797,0.837080729032479,0.506393647201081,1,1,1,1,1
"positive regulation of cyclic nucleotide metabolic process [GO:0030801]",0.649778989409612,0.432832362736269,0.273877967841419,0.833332288713608,0.358560475359804,1,1,1,1,1
"regulation of cyclic nucleotide biosynthetic process [GO:0030802]",0.678130225110083,0.563587814105028,0.0766464901675063,0.843282523614139,0.272504076707744,1,1,1,1,1
"negative regulation of cyclic nucleotide biosynthetic process [GO:0030803]",0.612892269734972,1,0.158239724162797,0.837080729032479,0.506393647201081,1,1,1,1,1
"positive regulation of cyclic nucleotide biosynthetic process [GO:0030804]",0.830122661695896,0.381087074030399,0.237204437448257,0.75419119810213,0.285176601534562,1,1,1,1,1
"regulation of cyclic nucleotide catabolic process [GO:0030805]",1,1,1,1,1,1,1,1,1,1
"negative regulation of cyclic nucleotide catabolic process [GO:0030806]",1,1,1,1,1,1,1,1,1,1
"positive regulation of cyclic nucleotide catabolic process [GO:0030807]",1,1,1,1,1,1,1,1,1,1
"regulation of nucleotide biosynthetic process [GO:0030808]",0.599078372375434,0.582247573284264,0.0838438952638663,0.868133960879905,0.299706832792826,1,1,1,1,1
"negative regulation of nucleotide biosynthetic process [GO:0030809]",0.481963526075258,1,0.178712031000753,0.874301354197892,0.553774748595233,1,1,1,1,1
"positive regulation of nucleotide biosynthetic process [GO:0030810]",0.830122661695896,0.381087074030399,0.237204437448257,0.75419119810213,0.285176601534562,1,1,1,1,1
"regulation of nucleotide catabolic process [GO:0030811]",0.932603074668,0.408091319876513,0.281150689460518,0.367573056599889,0.189237370464077,1,0.362740302580686,0.809191157590399,0.437113137598017,1
"negative regulation of nucleotide catabolic process [GO:0030812]",1,1,1,1,1,1,1,1,1,1
"positive regulation of nucleotide catabolic process [GO:0030813]",1,1,1,1,1,1,1,1,1,1
"regulation of cAMP metabolic process [GO:0030814]",0.75345674330286,0.544097217089824,0.0696595131598846,0.814464125294353,0.245587501305603,1,1,1,1,1
"negative regulation of cAMP metabolic process [GO:0030815]",0.612892269734972,1,0.158239724162797,0.837080729032479,0.506393647201081,1,1,1,1,1
"positive regulation of cAMP metabolic process [GO:0030816]",0.900626567700348,0.353475709210882,0.218182608855642,0.70357034216719,0.248034568967503,1,1,1,1,1
"regulation of cAMP biosynthetic process [GO:0030817]",0.821637488369702,0.523738906080303,0.06289776792137,0.781265227207579,0.219128533393585,1,1,1,1,1
"negative regulation of cAMP biosynthetic process [GO:0030818]",0.612892269734972,1,0.158239724162797,0.837080729032479,0.506393647201081,1,1,1,1,1
"positive regulation of cAMP biosynthetic process [GO:0030819]",0.900626567700348,0.353475709210882,0.218182608855642,0.70357034216719,0.248034568967503,1,1,1,1,1
"regulation of cAMP catabolic process [GO:0030820]",1,1,1,1,1,1,1,1,1,1
"negative regulation of cAMP catabolic process [GO:0030821]",1,1,1,1,1,1,1,1,1,1
"positive regulation of cAMP catabolic process [GO:0030822]",1,1,1,1,1,1,1,1,1,1
"regulation of cGMP metabolic process [GO:0030823]",0.168282639202083,1,1,1,1,1,1,1,1,1
"negative regulation of cGMP metabolic process [GO:0030824]",1,1,1,1,1,1,1,1,1,1
"positive regulation of cGMP metabolic process [GO:0030825]",0.30483986281689,1,1,1,1,1,1,1,1,1
"regulation of cGMP biosynthetic process [GO:0030826]",0.30483986281689,1,1,1,1,1,1,1,1,1
"negative regulation of cGMP biosynthetic process [GO:0030827]",1,1,1,1,1,1,1,1,1,1
"positive regulation of cGMP biosynthetic process [GO:0030828]",0.552151996898022,1,1,1,1,1,1,1,1,1
"regulation of cGMP catabolic process [GO:0030829]",1,1,1,1,1,1,1,1,1,1
"negative regulation of cGMP catabolic process [GO:0030830]",1,1,1,1,1,1,1,1,1,1
"positive regulation of cGMP catabolic process [GO:0030831]",1,1,1,1,1,1,1,1,1,1
"regulation of actin filament length [GO:0030832]",0.757182077844734,0.582247573284264,0.388958771597601,0.296656520333196,0.584723096999584,1,1,1,1,1
"regulation of actin filament polymerization [GO:0030833]",0.75345674330286,0.544097217089824,0.358068473169682,0.394200182827584,0.526356481750365,1,1,1,1,1
"regulation of actin filament depolymerization [GO:0030834]",0.0928883613594122,1,1,1,1,1,1,1,1,1
"negative regulation of actin filament depolymerization [GO:0030835]",0.168282639202083,1,1,1,1,1,1,1,1,1
"positive regulation of actin filament depolymerization [GO:0030836]",0.552151996898022,1,1,1,1,1,1,1,1,1
"negative regulation of actin filament polymerization [GO:0030837]",0.597102828307763,1,1,0.321384280283455,1,1,1,1,1,1
"positive regulation of actin filament polymerization [GO:0030838]",0.744437510800297,0.407522650728557,0.25576586195767,0.539344124977275,0.702019344046815,1,1,1,1,1
"regulation of intermediate filament polymerization [GO:0030839]",1,1,1,1,1,1,1,1,1,1
"negative regulation of intermediate filament polymerization [GO:0030840]",1,1,1,1,1,1,1,1,1,1
"positive regulation of intermediate filament polymerization [GO:0030841]",1,1,1,1,1,1,1,1,1,1
"regulation of intermediate filament depolymerization [GO:0030842]",1,1,1,0.228253845159623,1,1,1,1,1,1
"negative regulation of intermediate filament depolymerization [GO:0030843]",1,1,1,1,1,1,1,1,1,1
"positive regulation of intermediate filament depolymerization [GO:0030844]",1,1,1,0.228253845159623,1,1,1,1,1,1
"phospholipase C-inhibiting G-protein coupled receptor signaling pathway [GO:0030845]",1,1,1,1,1,1,1,1,1,1
"termination of RNA polymerase II transcription, poly(A)-coupled [GO:0030846]",1,1,1,1,1,1,1,1,1,1
"termination of RNA polymerase II transcription, exosome-dependent [GO:0030847]",1,1,1,1,1,1,1,1,1,1
"prostate gland development [GO:0030850]",0.799464130979156,0.083490450472414,1,1,1,1,1,1,1,1
"granulocyte differentiation [GO:0030851]",0.259373902344988,1,1,1,0.396029060244217,1,1,1,1,1
"regulation of granulocyte differentiation [GO:0030852]",0.168282639202083,1,1,1,1,1,1,1,1,1
"negative regulation of granulocyte differentiation [GO:0030853]",0.30483986281689,1,1,1,1,1,1,1,1,1
"positive regulation of granulocyte differentiation [GO:0030854]",0.552151996898022,1,1,1,1,1,1,1,1,1
"epithelial cell differentiation [GO:0030855]",0.838498067128137,0.527289868355906,0.262797922371401,0.325352164754588,0.356939020486374,1,1,0.589990574720332,1,1
"regulation of epithelial cell differentiation [GO:0030856]",0.830122661695896,0.381087074030399,0.237204437448257,0.475776490459958,0.670361032661182,1,1,1,1,1
"negative regulation of epithelial cell differentiation [GO:0030857]",0.552151996898022,1,1,1,1,1,1,1,1,1
"positive regulation of epithelial cell differentiation [GO:0030858]",0.87100336006633,1,0.115759998096632,0.726343177701654,0.396029060244217,1,1,1,1,1
"polarized epithelial cell differentiation [GO:0030859]",0.552151996898022,1,1,1,1,1,1,1,1,1
"regulation of polarized epithelial cell differentiation [GO:0030860]",1,1,1,1,1,1,1,1,1,1
"negative regulation of polarized epithelial cell differentiation [GO:0030861]",1,1,1,1,1,1,1,1,1,1
"positive regulation of polarized epithelial cell differentiation [GO:0030862]",1,1,1,1,1,1,1,1,1,1
"cortical cytoskeleton organization [GO:0030865]",0.30483986281689,1,1,1,1,1,1,1,1,1
"cortical actin cytoskeleton organization [GO:0030866]",0.30483986281689,1,1,1,1,1,1,1,1,1
"thyroid gland development [GO:0030878]",0.577954310046501,1,1,1,0.261028823563141,1,1,1,1,1
"mammary gland development [GO:0030879]",0.552686951988501,1,1,0.65191194592266,0.394255919020925,1,0.209896498587424,1,1,1
"regulation of myeloid dendritic cell activation [GO:0030885]",1,1,1,1,1,1,1,1,1,1
"negative regulation of myeloid dendritic cell activation [GO:0030886]",1,1,1,1,1,1,1,1,1,1
"positive regulation of myeloid dendritic cell activation [GO:0030887]",1,1,1,1,1,1,1,1,1,1
"regulation of B cell proliferation [GO:0030888]",0.91365727736518,1,1,0.576536352874588,0.174725937442014,1,1,0.159358722013755,1,1
"negative regulation of B cell proliferation [GO:0030889]",1,1,1,0.228253845159623,1,1,1,1,1,1
"positive regulation of B cell proliferation [GO:0030890]",0.93232278847736,1,1,0.788846792313511,0.10622924305669,1,1,0.12205880821243,1,1
"forebrain development [GO:0030900]",0.908051783590703,0.289111835518036,0.459867337458172,0.521653447959162,0.919908248741656,1,0.343610633053629,0.0157756693973628,1,1
"midbrain development [GO:0030901]",0.552151996898022,1,1,1,1,1,1,1,1,1
"hindbrain development [GO:0030902]",0.973548788587995,0.353475709210882,1,0.175570888489212,0.635344266195125,1,1,0.195083066369545,1,1
"notochord development [GO:0030903]",0.552151996898022,1,1,1,1,1,1,1,1,1
"protein splicing [GO:0030908]",1,1,1,1,1,1,1,1,1,1
"non-intein-mediated protein splicing [GO:0030909]",1,1,1,1,1,1,1,1,1,1
"olfactory placode formation [GO:0030910]",1,1,1,0.404430643175149,1,1,0.0330703843348531,1,1,1
"response to deep water [GO:0030912]",1,1,1,1,1,1,1,1,1,1
"paranodal junction assembly [GO:0030913]",1,1,1,1,1,1,1,1,1,1
"otic vesicle formation [GO:0030916]",0.577954310046501,1,1,0.540406788508398,1,1,1,1,1,1
"midbrain-hindbrain boundary development [GO:0030917]",0.577954310046501,1,0.0711484912046444,1,1,1,1,1,1,1
"peptidyl-serine O-acetylation [GO:0030919]",1,1,1,1,1,1,1,1,1,1
"peptidyl-serine acetylation [GO:0030920]",1,1,1,1,1,1,1,1,1,1
"peptidyl-tyrosine dehydrogenation to form (Z)-2,3-didehydrotyrosine [GO:0030921]",1,1,1,1,1,1,1,1,1,1
"peptidyl-tyrosine dehydrogenation to form (E)-2,3-didehydrotyrosine [GO:0030922]",1,1,1,1,1,1,1,1,1,1
"metal incorporation into metallo-oxygen cluster [GO:0030923]",1,1,1,1,1,1,1,1,1,1
"manganese incorporation into metallo-oxygen cluster [GO:0030924]",1,1,1,1,1,1,1,1,1,1
"calcium incorporation into metallo-oxygen cluster [GO:0030925]",1,1,1,1,1,1,1,1,1,1
"calcium incorporation into metallo-oxygen cluster via bis-L-aspartato tris-L-glutamato L-histidino calcium tetramanganese tetroxide [GO:0030926]",1,1,1,1,1,1,1,1,1,1
"manganese incorporation into metallo-oxygen cluster via bis-L-aspartato tris-L-glutamato L-histidino calcium tetramanganese tetroxide [GO:0030927]",1,1,1,1,1,1,1,1,1,1
"response to long-day photoperiod [GO:0030939]",1,1,1,1,1,1,1,1,1,1
"response to short-day photoperiod [GO:0030940]",1,1,1,1,1,1,1,1,1,1
"regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030947]",0.597102828307763,1,1,0.726343177701654,0.396029060244217,1,1,1,1,1
"negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]",0.799464130979156,1,1,0.404430643175149,1,1,1,1,1,1
"positive regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030949]",0.577954310046501,1,1,1,0.261028823563141,1,1,1,1,1
"establishment or maintenance of actin cytoskeleton polarity [GO:0030950]",1,1,1,1,1,1,1,1,1,1
"establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]",1,1,1,0.0520770471440969,1,1,1,1,1,1
"establishment or maintenance of cytoskeleton polarity [GO:0030952]",1,1,1,0.0520770471440969,1,1,1,1,1,1
"astral microtubule organization [GO:0030953]",1,1,1,1,1,1,1,1,1,1
"astral microtubule nucleation [GO:0030954]",1,1,1,1,1,1,1,1,1,1
"peptide cross-linking via 3'-(3'-L-tyrosinyl)-L-tyrosine [GO:0030959]",1,1,1,1,1,1,1,1,1,1
"peptide cross-linking via 3'-(O4'-L-tyrosinyl)-L-tyrosine [GO:0030960]",1,1,1,1,1,1,1,1,1,1
"peptidyl-arginine hydroxylation [GO:0030961]",1,1,1,1,1,1,1,1,1,1
"peptidyl-arginine dihydroxylation to peptidyl-3,4-dihydroxy-L-arginine [GO:0030962]",1,1,1,1,1,1,1,1,1,1
"peptidyl-lysine dihydroxylation to 4,5-dihydroxy-L-lysine [GO:0030963]",1,1,1,1,1,1,1,1,1,1
"plasma membrane electron transport, NADH to quinone [GO:0030965]",1,1,1,1,1,1,1,1,1,1
"endoplasmic reticulum unfolded protein response [GO:0030968]",0.721799444177843,1,1,0.413275685889367,0.346153436526664,1,0.406813346741005,0.142258725720648,1,1
"UFP-specific transcription factor mRNA processing involved in endoplasmic reticulum unfolded protein response [GO:0030969]",1,1,1,1,1,1,1,1,1,1
"retrograde protein transport, ER to cytosol [GO:0030970]",0.30483986281689,1,1,1,1,1,1,1,1,1
"cleavage of cytosolic proteins involved in execution phase of apoptosis [GO:0030972]",1,1,1,1,1,1,1,1,1,1
"thiamine pyrophosphate transport [GO:0030974]",1,1,1,1,1,1,1,1,1,1
"alpha-glucan metabolic process [GO:0030978]",1,1,1,1,1,1,1,1,1,1
"alpha-glucan biosynthetic process [GO:0030979]",1,1,1,1,1,1,1,1,1,1
"alpha-glucan catabolic process [GO:0030980]",1,1,1,1,1,1,1,1,1,1
"adventurous gliding motility [GO:0030982]",1,1,1,1,1,1,1,1,1,1
"dynein-driven meiotic oscillatory nuclear movement [GO:0030989]",1,1,1,1,1,1,1,1,1,1
"primary cell septum disassembly [GO:0030994]",1,1,1,1,1,1,1,1,1,1
"cell septum edging catabolic process [GO:0030995]",1,1,1,1,1,1,1,1,1,1
"cell cycle arrest in response to nitrogen starvation [GO:0030996]",1,1,1,1,1,1,1,1,1,1
"regulation of centriole-centriole cohesion [GO:0030997]",1,0.0426521907716174,1,1,1,1,1,1,1,1
"linear element assembly [GO:0030999]",1,1,1,1,1,1,1,1,1,1
"response to caffeine [GO:0031000]",1,1,1,0.0520770471440969,1,1,1,1,1,1
"response to brefeldin A [GO:0031001]",1,1,1,1,1,1,1,1,1,1
"pancreas development [GO:0031016]",0.659924434728638,0.480263407933376,0.308797244331127,0.70025625065706,1,1,1,0.0400086304110527,1,1
"exocrine pancreas development [GO:0031017]",1,1,1,1,1,1,1,0.0214553444487527,1,1
"endocrine pancreas development [GO:0031018]",0.626562795822874,1,1,0.33854394820714,1,1,1,0.177413638839439,1,1
"nuclear migration along microfilament [GO:0031022]",1,1,1,0.228253845159623,1,1,1,1,1,1
"microtubule organizing center organization [GO:0031023]",0.669335592560667,0.162241850622382,1,0.781265227207579,0.495159928367613,1,1,1,0.120192904628015,1
"interphase microtubule organizing center assembly [GO:0031024]",1,1,1,1,1,1,1,1,1,1
"equatorial microtubule organizing center disassembly [GO:0031025]",1,1,1,1,1,1,1,1,1,1
"septation initiation signaling cascade [GO:0031028]",1,1,1,1,1,1,1,1,1,1
"regulation of septation initiation signaling cascade [GO:0031029]",1,1,1,1,1,1,1,1,1,1
"negative regulation of septation initiation signaling cascade [GO:0031030]",1,1,1,1,1,1,1,1,1,1
"positive regulation of septation initiation signaling cascade [GO:0031031]",1,1,1,1,1,1,1,1,1,1
"actomyosin structure organization [GO:0031032]",0.509996474565926,1,0.218182608855642,0.70357034216719,0.635344266195125,1,1,1,1,1
