"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"unfolded protein response, cleavage of primary transcript encoding UFP-specific transcription factor [GO:0006988]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"unfolded protein response, ligation of mRNA encoding UFP-specific transcription factor by RNA ligase [GO:0006989]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to sterol depletion [GO:0006991]",0.670195136578901,1,1,1,0.215322389972321,1,0.364922170343198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular response to nitrogen starvation [GO:0006995]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"organelle organization [GO:0006996]",0.910847471968257,0.843678049005179,0.210732112062189,0.862869838499069,0.642179728456568,0.356893662784346,0.0595112161646178,0.00129780473675451,0.220366538332138,0.711513013210952,0.279666373968668,0.802738775585563,0.898947441339938,0.903854411025586,0.279589230530189,0.850013219428542,0.0261648799956182,0.673669259880189,0.0643594243920928,1,0.150644098888103,0.0237063104466165,0.863610255779981,0.509740541835171,0.264148832619226,1,0.683704612495085,1,1,1
"nucleus organization [GO:0006997]",0.699340925697539,1,1,1,1,1,0.713242950155763,1,1,1,0.159285322353359,1,1,1,1,1,1,1,0.0294734216128789,1,0.182085552016041,1,1,0.00216901958981203,1,1,1,1,1,1
"nuclear envelope organization [GO:0006998]",0.866272894322178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00812165677774679,1,1,1,1,0.0192648134800337,1,1,1,1,1,1
"nuclear pore organization [GO:0006999]",0.866272894322178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0533150243668628,1,1,0.0192648134800337,1,1,1,1,1,1
"nucleolus organization [GO:0007000]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"centromere binding [GO:0007002]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"telomere binding [GO:0007003]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"telomere maintenance via telomerase [GO:0007004]",0.611484712018865,1,1,1,0.384360676704856,1,0.208746854837177,1,1,1,0.118525564704683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrion organization [GO:0007005]",0.291677267099743,1,1,0.620849459605127,0.93744421831056,0.438694419787481,0.267294085973506,0.0903360769079477,1,1,0.322580548707554,1,0.986609150518523,0.699202726593286,1,0.665111736559024,1,0.593411103367459,0.182972323475279,1,0.149760615418977,1,0.358135625542466,1,1,1,1,1,1,1
"mitochondrial membrane organization [GO:0007006]",0.469042521708905,1,1,1,1,1,0.713242950155763,0.226008007831239,1,1,0.159285322353359,1,1,1,1,0.149513550698138,1,1,1,1,0.182085552016041,1,1,1,1,1,1,1,1,1
"inner mitochondrial membrane organization [GO:0007007]",0.238659998644689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"outer mitochondrial membrane organization [GO:0007008]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"plasma membrane organization [GO:0007009]",0.377853731509168,1,1,0.876064759538067,1,1,0.590819794266685,0.00360063811631661,0.0426033216084448,1,1,1,0.803481765803567,1,1,1,1,1,1,1,1,0.106501435065908,0.154022527140798,1,1,1,0.0529774984156544,1,1,1
"cytoskeleton organization [GO:0007010]",0.967365202760146,0.304818961195607,0.213197705456131,0.907994349637014,0.615503123190684,0.560321900778586,0.154195606023382,0.0378045081258279,0.266351394465851,0.204820767560859,0.599566796830097,0.176737081976207,0.78807841411087,0.616242073771304,0.475762833930903,0.94692549583809,0.00712765004437161,0.778431065319228,0.0987730909762045,1,0.284916252555357,0.043336224979566,0.695758477682407,0.725758556708868,1,1,0.321066796096755,1,1,1
"regulation of cytoskeleton [GO:0007011]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"actin ubiquitination [GO:0007014]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"actin filament organization [GO:0007015]",0.958347597792477,1,0.0420537258644641,0.972242473339994,0.311682178688576,1,0.41158135865758,0.303071045158958,0.0720084576019603,0.186000434922533,0.17259461174144,0.299542094007957,0.513094833724327,1,0.144290697228307,1,1,0.729026785167613,1,1,0.215409997620157,0.0156298832534744,1,1,1,1,1,1,1,1
"cytoskeletal anchoring at plasma membrane [GO:0007016]",0.670195136578901,0.0724083663083543,1,1,1,1,0.364922170343198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"microtubule-based process [GO:0007017]",0.915141537325026,0.29026161821617,1,0.93825273548758,0.716534305428649,0.144101297320141,0.120140565511678,0.202891525474089,1,0.352430281200083,0.798606767458083,0.170306744883623,0.680421933680533,0.483978221691137,1,0.775921129336676,0.189778148417749,0.285003006623844,0.241416158041064,1,0.8437742754817,0.335114512727116,0.454592168185717,0.482687802952363,1,1,0.179040396546629,1,1,1
"microtubule-based movement [GO:0007018]",0.88913610566568,1,1,0.926555511463274,0.61857993387443,0.154886364414185,0.740680891702073,0.557999918465629,1,1,0.424732778803941,0.228469341321513,0.315486756083831,1,1,0.403152103138538,1,0.0660628429203792,1,1,0.472993222480082,1,0.188745437998205,0.203415124535063,1,1,1,1,1,1
"microtubule depolymerization [GO:0007019]",0.879623230753589,1,1,1,0.304950346327304,1,0.493942431176227,0.130377727342299,1,1,1,1,1,0.0924184118140293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"microtubule nucleation [GO:0007020]",0.238659998644689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tubulin complex assembly [GO:0007021]",1,1,1,1,1,1,0.107276722243764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"post-chaperonin tubulin folding pathway [GO:0007023]",0.866272894322178,1,1,1,1,1,1,0.0674518192808683,1,1,1,1,0.159729346122727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of microtubule depolymerization [GO:0007026]",0.93163214690327,1,1,1,0.215322389972321,1,1,0.0889146556098064,1,1,1,1,1,0.0625946141697823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of axonemal microtubule depolymerization [GO:0007027]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cytoplasm organization [GO:0007028]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"endoplasmic reticulum organization [GO:0007029]",0.634619872327206,1,0.0931337000747826,1,0.304950346327304,1,1,1,1,1,0.0902697255058741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Golgi organization [GO:0007030]",0.969700984338865,1,1,0.347313976178211,0.264005707731444,0.291346676990791,0.272564829617134,0.0064198603932983,1,1,1,1,0.627343051111839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"peroxisome organization [GO:0007031]",0.915463303667325,1,1,0.59093995278534,0.517046614824279,1,0.374375248230072,1,1,1,1,0.0849686900596774,1,1,1,1,1,0.277951106592517,0.0321114048054922,1,1,1,1,0.0749029645287466,1,1,1,1,1,1
"endosome organization [GO:0007032]",0.0989275606470143,1,1,1,1,1,0.493942431176227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vacuole organization [GO:0007033]",0.793065811957047,0.300491609626166,0.266433321394653,1,0.30856750189127,0.319519100854309,0.884531126981203,0.357731197222184,0.0290944150921203,1,1,1,0.668249848634836,1,1,1,1,0.403018442814497,1,1,0.293448390247978,1,1,1,1,1,1,1,1,1
"vacuolar transport [GO:0007034]",0.466464254301243,1,1,0.620328732876491,0.545492412915535,0.231478931163564,0.771549330501223,1,1,1,1,1,1,1,1,0.17421152778909,1,1,1,1,0.21146112050929,1,1,1,1,1,1,1,1,1
"vacuolar acidification [GO:0007035]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vacuolar calcium ion homeostasis [GO:0007036]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vacuolar phosphate transport [GO:0007037]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"endocytosed protein transport to vacuole [GO:0007038]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vacuolar protein catabolic process [GO:0007039]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"lysosome organization [GO:0007040]",0.611484712018865,1,1,1,1,0.14953329830746,0.596776462213924,1,1,1,1,1,0.371385938432625,1,1,1,1,1,1,1,0.135973119981702,1,1,1,1,1,1,1,1,1
"lysosomal transport [GO:0007041]",0.581568599246712,1,1,0.59093995278534,0.517046614824279,0.215743030810903,0.74404910487628,1,1,1,1,1,1,1,1,0.161952713107031,1,1,1,1,0.196906678435632,1,1,1,1,1,1,1,1,1
"lysosomal lumen acidification [GO:0007042]",0.238659998644689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell-cell junction assembly [GO:0007043]",0.809266877561337,1,1,0.117924063915106,0.643508130949715,1,0.101009609679155,1,1,1,1,1,1,1,1,1,1,1,1,1,0.267106080155909,1,1,1,1,1,1,0.0217688953340902,1,1
"cell-substrate junction assembly [GO:0007044]",0.986205605648656,1,1,1,1,1,0.000152912895480269,1,1,0.0540917143686754,1,1,1,1,1,0.17421152778909,1,1,1,1,1,0.0508919228033953,1,1,1,1,1,1,1,1
"cell-substrate adherens junction assembly [GO:0007045]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"oncogenesis [GO:0007048]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell cycle [GO:0007049]",0.858529224096706,0.712627629032992,0.866694257895702,0.945314810139863,0.297754525724651,0.776036310048217,0.0901219203139247,0.774051579141902,0.452020914020881,0.809191354364558,0.238931655159037,0.303196284495965,0.733138079169241,0.403251354979266,0.347155842531444,0.186998508011854,0.55167513077012,0.135445378991951,0.273952669003896,0.843978965784204,0.686764692622373,0.0623232417409904,0.665106741204592,0.709388752707415,1,0.478834647936752,0.164700287567728,0.394195904989676,1,1
"cell cycle arrest [GO:0007050]",0.534948375915199,1,0.35528869954602,0.96336660662884,0.891456278061583,0.931010745700967,0.0655214778864545,0.808879814030878,1,1,0.611552218257816,0.251213659139554,0.612810384589425,0.350640713015327,1,0.124563195185489,1,0.466778681772927,0.301679449586107,0.469174384197011,0.424227145764197,0.0962552816882576,1,0.575383576052592,1,0.199220541503914,1,1,1,1
"spindle organization [GO:0007051]",0.680886454474728,0.386924254865389,1,0.85609366096158,0.457414590605481,0.409639909425944,0.538992315915874,1,1,0.105341499359504,1,0.175162292965679,0.435242517758943,1,1,0.318294857607548,1,1,0.0683336387654636,1,1,1,1,1,1,1,1,1,1,1
"mitotic spindle organization [GO:0007052]",0.895634281067191,1,1,0.647609617554578,0.197432809393447,1,0.796098017151144,1,1,0.0581330107728483,1,1,0.18479245113697,1,1,0.186292586484045,1,1,0.0373668988010889,1,1,1,1,1,1,1,1,1,1,1
"spindle assembly involved in male meiosis [GO:0007053]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spindle assembly involved in male meiosis I [GO:0007054]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spindle assembly involved in male meiosis II [GO:0007055]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spindle assembly involved in female meiosis [GO:0007056]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spindle assembly involved in female meiosis I [GO:0007057]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spindle assembly involved in female meiosis II [GO:0007058]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"chromosome segregation [GO:0007059]",0.228852245239374,0.217689239496187,1,0.665484695187531,0.055715164027955,1,0.995253542394297,0.294515870378309,1,1,1,1,0.271988858447173,0.533104589836254,1,1,1,1,1,1,0.577190110840855,0.172427440933554,1,1,1,1,1,1,1,1
"male meiosis chromosome segregation [GO:0007060]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sister chromatid cohesion [GO:0007062]",0.570911420309133,0.23144623310878,1,0.647609617554578,0.197432809393447,1,1,1,1,1,1,1,0.0406566254648103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of sister chromatid cohesion [GO:0007063]",0.797955444611462,0.0896815067779777,1,0.310839106796681,1,1,1,1,1,1,1,1,0.251804272951806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic sister chromatid cohesion [GO:0007064]",0.474981586959229,1,1,1,0.345856774010796,1,1,1,1,1,1,1,0.0550975405693496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"male meiosis sister chromatid cohesion [GO:0007065]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"female meiosis sister chromatid cohesion [GO:0007066]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitosis [GO:0007067]",0.875673517540881,0.181786935957495,1,0.678388939549913,0.181480958948618,1,0.223057473671494,0.108278543970284,1,1,0.351231147603942,1,0.65800333784488,0.362354169397919,1,0.689091874695236,1,0.629168822779159,1,1,0.765423848714002,0.0395465569934919,1,0.402378994994004,1,1,1,1,1,1
"negative regulation of transcription during mitosis [GO:0007068]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase I promoter during mitosis [GO:0007069]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase II promoter during mitosis [GO:0007070]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase III promoter during mitosis [GO:0007071]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription on exit from mitosis [GO:0007072]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription on exit from mitosis, from RNA polymerase I promoter [GO:0007073]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription on exit from mitosis, from RNA polymerase II promoter [GO:0007074]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription on exit from mitosis, from RNA polymerase III promoter [GO:0007075]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic chromosome condensation [GO:0007076]",0.866272894322178,1,1,1,0.166273301833484,1,1,1,1,1,1,1,0.159729346122727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic nuclear envelope disassembly [GO:0007077]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"lamin depolymerization [GO:0007078]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic chromosome movement towards spindle pole [GO:0007079]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic metaphase plate congression [GO:0007080]",0.670195136578901,1,1,1,0.215322389972321,1,1,1,1,1,1,1,0.20709914248819,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic sister-chromatid adhesion release [GO:0007081]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic chromosome decondensation [GO:0007083]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic nuclear envelope reassembly [GO:0007084]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear membrane vesicle binding to chromatin [GO:0007085]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vesicle fusion with nuclear membrane involved in mitotic nuclear envelope reassembly [GO:0007086]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic nuclear pore complex reassembly [GO:0007087]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of mitosis [GO:0007088]",0.455774078589188,0.351263081912114,1,0.819957581556535,0.150106636721448,1,0.228388070986795,1,1,1,1,1,1,0.31074076694763,1,1,1,1,1,1,1,0.0883248051702712,1,1,1,1,1,1,1,1
"traversing start control point of mitotic cell cycle [GO:0007089]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of S phase of mitotic cell cycle [GO:0007090]",0.47855467453006,1,1,0.310839106796681,1,1,1,1,1,1,1,1,1,1,1,0.0709413505597284,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic metaphase/anaphase transition [GO:0007091]",0.116070193516419,1,1,1,0.545492412915535,1,0.41404639737696,1,1,1,1,1,1,0.189579091568715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of mitotic anaphase-promoting complex activity [GO:0007092]",0.738462917214171,1,1,1,1,1,0.203057528931675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic cell cycle checkpoint [GO:0007093]",0.831477624011144,1,0.199083006737802,0.889845326748856,0.584152251805308,0.64494077932255,0.304064199355722,0.696061010885238,1,1,0.553594845470666,1,0.55456353131028,0.196680381838834,1,0.528958256740973,1,0.155378283308349,0.129828023643521,1,0.607154937931862,0.185694011397454,1,1,1,1,1,1,1,1
"mitotic cell cycle spindle assembly checkpoint [GO:0007094]",0.634619872327206,1,1,1,0.304950346327304,1,0.493942431176227,1,1,1,1,1,1,0.0924184118140293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic cell cycle G2/M transition DNA damage checkpoint [GO:0007095]",0.738462917214171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0527966717096523,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of exit from mitosis [GO:0007096]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear migration [GO:0007097]",1,1,1,1,1,1,0.107276722243764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"centrosome cycle [GO:0007098]",0.231776782463663,0.155637619763524,1,1,1,0.1665888473775,1,1,1,1,1,1,1,1,1,1,1,1,0.024176898640643,1,1,1,1,1,1,1,1,1,1,1
"centriole replication [GO:0007099]",0.295490789417412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0108148873450687,1,1,1,1,1,1,1,1,1,1,1
"mitotic centrosome separation [GO:0007100]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"male meiosis centrosome cycle [GO:0007101]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spindle pole body duplication associated with nuclear envelope [GO:0007103]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cytokinesis, site selection [GO:0007105]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cytokinesis, protein recruitment [GO:0007106]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"membrane addition at site of cytokinesis [GO:0007107]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cytokinesis, initiation of separation [GO:0007108]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cytokinesis, completion of separation [GO:0007109]",0.738462917214171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0289988383623515,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cytokinesis after meiosis I [GO:0007110]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cytokinesis after meiosis II [GO:0007111]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"male meiosis cytokinesis [GO:0007112]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"endomitotic cell cycle [GO:0007113]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell budding [GO:0007114]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"bud site selection/establishment of cell polarity (sensu Saccharomyces) [GO:0007115]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cell budding [GO:0007116]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"budding cell bud growth [GO:0007117]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"budding cell apical bud growth [GO:0007118]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"budding cell isotropic bud growth [GO:0007119]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"axial cellular bud site selection [GO:0007120]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"bipolar cellular bud site selection [GO:0007121]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"loss of asymmetric budding [GO:0007122]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"bud scar accumulation [GO:0007123]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"pseudohyphal growth [GO:0007124]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"invasive growth [GO:0007125]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"meiosis [GO:0007126]",0.0529108587350212,1,1,0.626232921844663,0.515458254458999,1,0.615278452751243,0.491462813344621,1,1,1,1,1,1,1,0.347831505193844,1,1,1,1,0.411704755348042,1,1,1,1,1,1,1,1,1
"meiosis I [GO:0007127]",0.554232658647006,1,1,0.37393375437105,0.664518985926124,1,0.303200325239737,0.342570893960753,1,1,1,1,1,1,1,0.232889815068341,1,1,1,1,0.280396902536501,1,1,1,1,1,1,1,1,1
"meiotic prophase I [GO:0007128]",0.738462917214171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0358646100694779,1,1,1,1,1,1,1,1,1
"synapsis [GO:0007129]",0.738462917214171,1,1,0.138329411085399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"synaptonemal complex assembly [GO:0007130]",0.738462917214171,1,1,0.138329411085399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"reciprocal meiotic recombination [GO:0007131]",0.570911420309133,1,1,0.647609617554578,0.57226622857108,1,0.18382635732516,0.278287790046373,1,1,1,1,1,1,1,0.186292586484045,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"meiotic metaphase I [GO:0007132]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"meiotic anaphase I [GO:0007133]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"meiotic telophase I [GO:0007134]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"meiosis II [GO:0007135]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"meiotic prophase II [GO:0007136]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"meiotic metaphase II [GO:0007137]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"meiotic anaphase II [GO:0007138]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"meiotic telophase II [GO:0007139]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"male meiosis [GO:0007140]",0.116568516467955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
